Input_Address,Output_Address,Input_Value,Output_Value
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HyxhSRFP1ik7iKSwTo7DDiBe8no1EctbC,1000000,1000000
1HyxhSRFP1ik7iKSwTo7DDiBe8no1EctbC,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1ME8WGsB7rtVLu76zDM3NRGiEqQYPRaDT2,1000000,1000000
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1HyxhSRFP1ik7iKSwTo7DDiBe8no1EctbC,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1ME8WGsB7rtVLu76zDM3NRGiEqQYPRaDT2,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1ME8WGsB7rtVLu76zDM3NRGiEqQYPRaDT2,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1ME8WGsB7rtVLu76zDM3NRGiEqQYPRaDT2,1000000,1000000
1HyxhSRFP1ik7iKSwTo7DDiBe8no1EctbC,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HPomwyJ3upEh2wLUTbFjj5vHPHZsY7eVj,1000000,1000000
1K2GvTVPNHstcj9mDYFnEQHL1rauRewo7T,1HyxhSRFP1ik7iKSwTo7DDiBe8no1EctbC,1000000,1000000
1FW3opetManXN9TiN8VE12XioWhTAkWMPv,1FxkraMh8bHBpyeNH3nDt74QGQZ92beC1k,5000000000,2420000000
17CGj5mjBw2RykMbcQgLYb8wAAwZ2QdZWQ,1Hbdkf5BqsBPjBnjmdCTLiyngZuXeVxo89,1057000000,86000000
1CnVqjfey74FHTQnWvKAoEZcrpuetBUR1R,1Asp2yZe2xc3Uc9Lphx6p9n1HbbyxbxqsH,4896000000,4891000000
1BPrmUyKYzpH1rbPhxqZHtGhTgDXZugH5S,15iGN5CAkTarcoY85XxwTYWajJyz5hxbYv,861000000,20000000
19ViettYcUtE1gD5DGzKvBCZtDxhpFXTmr,1BmU3gggL6vomS7xCh129pjYfcSuE7iwXt,1000000,1000000
1J7CLMUB5pMeeH5wBUYSSuncH17CcaSykv,14Ghffp7ubgdYkPWEoRSEfjcPm4V5Fc5Cp,18000000000,690000000
144ygtGtUzC4BZCn1vk9pxxcjZCa3wA2WW,19nYwUtDpiqUPopQJNgv5NR1SwZBpnttKC,841000000,14000000
1PEaLKdLLMqSVexgCPkMKQ8LtMcmV5Y72h,13pD9FY2qoz87P9U8kutcWHtL6c548d47q,5000000,5000000
1362dQa7NpBMMJtQkXgisWUKVeEQdXYA8b,1MSF6JBxFdeSnb2E8D7cnbtJHjATjuFpFE,912000000,51000000
1PPqpLdqXRD9dsJJWD2YAk8Ej9TWPzMtJk,1362dQa7NpBMMJtQkXgisWUKVeEQdXYA8b,971000000,912000000
1AN4A5UBU9eXoNVw1bqhXzHnnivMeAD9og,1LzeazS6vS9Zth4xU46RZHVVi2ZW2W16aJ,550000000,545000000
1NeCLsBrVooM7k6isMSU6MPezR5fQhPumP,16cUGPNeRkQJZ6Ju7Pj6zxmUCkAKUtNcZ4,3489000000,126000000
15JYxuie5UwnLGk4JPn1L9sxi8JwjUXHvK,1Bw2MeyRCMFyb3J115TExLcVeYVy4zR2z,3077000000,532000000
1C6AraHKupu3X3sRANkdQkKPLvYMgZ75xj,13SecR7EGTXQ4LHGWvYhbAEUbMnFpyMWHG,4350000000,94000000
1NQmuF9vznWBxeZeUfWQgPjkFmUyK1ngD4,1AoeypG2jJTMM28CQq7STwQ5EDzb4eh9jU,4842000000,4821000000
15Np3iJ7isYCWvyG2NabmCtcyNDsELmFKW,16RhDdJHe3bXQL9PBPCWLc2A4svbaSLPXX,4119000000,4017000000
19BXKSL5WpnmqGHyvnTDznMzv8Gy2T4n54,1PWXo1k2BqjhnGZvp9LTcEG3QXQJ9PiyoK,3734000000,3630000000
1Lukr31nLeNLj6wYGWEpQCgJdt7xPA3xHC,1GPwPcyyGiXNYEyt42raMcRoSX77Hkanoq,4504000000,4441000000
194ybS7NuFzjm5awWuu2CPK9e2EgRrK1zm,1EcaEYUZ3pZFaRXDYxZH4iNktq8b8DGMFG,4549000000,52000000
15DXrtUrP5WTpENvb7x18j5esfhwuk749i,16u5Tq1A5sQhGF3C1M9aMQvjXb25NyTsrZ,4009000000,103000000
18Febq27Joehwvcso9UJHRLy9m7GkRcv2W,1KDaJEbUuehQsbecRnZqHVJguF5UtFpvXk,4587000000,41000000
1GMqeJNVicv5jLNvQ2mGrLJxpt3h29wnE3,1AKkMZUAQWb5kRwM6TnNizYneoZ781dQQr,151000000,50000000
1K5MAbgwnaxQajL1mSW16FGdzCMMGkjSrk,152sWtFGXKa2vhWUcvcgNzidjKKibjGXgc,4645000000,41000000
1G6bRpgA7RkSAhdnGwbntBRuxmFBeN68Ua,124TQXntz7akAYCrUxDjLuVg7fLGTJqcgt,445000000,5049000000
1GPJDUmcw3BEWmF9xTcPDpzTmHbdxiqoU6,15iGN5CAkTarcoY85XxwTYWajJyz5hxbYv,4879000000,10000000
1mvQPnzpatZkfZWA6sZ4GKrbBmJpDE2xM,19225Yekas4rCyPLimmCd7Uyk1VkitVdZn,5000000000,5000000000
16h3r5K1W8GZGLeCdyYjS5qsx9taxztyXY,15rX6xJEBbmSZy9aHvKNxbESGERymjtJto,4867000000,4857000000
16BD4jYTzfLiNs1GtEyc1dW11ykgTZE2dN,1AionCF4SHwJWp4NoFWdshuZAFXCkNJuon,3225000000,515000000
12ac2cTDN6TsXy1arQJRzxS2Sq7pMTC1D7,16wq6MMNq8FpzPyxn5XDCDyr9Q4fhGnXL,2557000000,1528000000
12GW9JJ6wGKxNFdUEBXAbBVjWDz2A28uRo,13WvbZcJrnErQ9JvgfSqJbX9iJCLXJkiHT,2859000000,856000000
1EUEXBruN68wy6mmjTVtLiocEDQKjrKDp3,1ARkGuWzTCziuLaaXAdvUVVkoAxw9nYaqD,3562000000,118000000
