"";"source";"target";"value"
"1";"6278041355547718";"9344470806719";135
"2";"6278042097556728";"9355039096960";119
"3";"6278041116482916";"9344513418497";103
"4";"6278042162205219";"9353190027922";101
"5";"6278041027653712";"9355035704753";101
"6";"6278041255181410";"9344521828776";95
"7";"6278042014538114";"9344605162567";92
"8";"6278041940447218";"9361034875851";90
"9";"6278041820137616";"9344469452149";90
"10";"6278042038289413";"9344530942715";89
"11";"6278042059368823";"9344757501573";87
"12";"6278041392044919";"9344605107483";85
"13";"6278041969729223";"9361059422580";80
"14";"6278041940003714";"9344517117037";78
"15";"6278041788200018";"9353187066545";74
"16";"6278041263433316";"9353184590173";72
"17";"6278041590821316";"9355040921718";70
"18";"6278041571388814";"9344460843618";70
"19";"6278041836926416";"9344500734104";67
"20";"6278041150422620";"9344484245061";66
"21";"6278041486514819";"9344751892349";66
"22";"6278041575655614";"9344796353218";65
"23";"6278041337216317";"9344665847169";64
"24";"6278041283074116";"9344664027760";64
"25";"6278041811175716";"9344423850844";62
"26";"6278041217707914";"9361059815818";62
"27";"6278041046047417";"9353180939853";62
"28";"6278042099717211";"9355036313923";61
"29";"6278042000732911";"9344670193893";60
"30";"6278041616208118";"9344468431763";59
"31";"6278041344600826";"9355063278356";59
"32";"6278042037693417";"9353138899819";57
"33";"6278041996643017";"9344662014588";57
"34";"6278041369206020";"9344470272378";57
"35";"6278041753657416";"9353107094078";57
"36";"6278042061822015";"9361031480539";56
"37";"6278041963309410";"9344678558120";55
"38";"6278041759793025";"9355035178523";54
"39";"6278041914104415";"9344463524538";54
"40";"6278041738757315";"9344457597258";54
"41";"6278041833165216";"9344517643147";53
"42";"6278041991294717";"9344489810370";53
"43";"6278042184870917";"9344713563133";53
"44";"6278041995374713";"9361058956611";51
"45";"6278042079550517";"9344755761009";51
"46";"6278042152342519";"9344700342680";50
"47";"6278041557922016";"9344459507842";50
"48";"6278041056517820";"9344524403659";50
"49";"6278042067579015";"9344623243767";49
"50";"6278041366345417";"9344518346573";49
"51";"6278041830981110";"9344667278053";49
"52";"6278042013395912";"9344757793329";49
"53";"6278041791422716";"9344451386506";48
"54";"6278042173605019";"9353145927963";48
"55";"6278041967532017";"9344781407759";47
"56";"6278041760677118";"9355031839886";47
"57";"6278041246998914";"9344478754333";47
"58";"6278041056446426";"9344519520804";47
"59";"6278041341800114";"9344777144545";47
"60";"6278041327973729";"9344607255342";47
"61";"6278042173818117";"9355033214070";47
"62";"6278041966880813";"9344475648710";47
"63";"6278041730223324";"9353109410111";46
"64";"6278041332340518";"9353142757143";46
"65";"6278041900061215";"9344423761935";46
"66";"6278041055449520";"9344607915390";46
"67";"6278042185252214";"9355064900577";46
"68";"6278041278705310";"9344518341028";46
"69";"6278041345175117";"9353090154391";45
"70";"6278041823022716";"9344469852871";44
"71";"6278041977272810";"9344791266278";44
"72";"6278041452696517";"9355039298807";44
"73";"6278041316966817";"9344518835855";44
"74";"6278041455162715";"9344665081556";43
"75";"6278041949623512";"9344674972029";43
"76";"6278041694784329";"9355030458262";43
"77";"6278041479280923";"9344679126274";43
"78";"6278041644273415";"9344467709030";43
"79";"6278042112159813";"9355032804265";43
"80";"6278041092660717";"9344660558091";42
"81";"6278041091570115";"9344463665507";42
"82";"6278041108208717";"9344695991870";41
"83";"6278042064947025";"9361059701029";41
"84";"6278041832344416";"9344455608949";41
"85";"6278042120365410";"9344675022075";40
"86";"6278041316279211";"9344452969876";40
"87";"6278041406802013";"9353182450561";40
"88";"6278041353423722";"9344607996795";39
"89";"6278041956848713";"9344536108658";39
"90";"6278042011067711";"9344616732834";39
"91";"6278042163684115";"9344701367712";39
"92";"6278041361062520";"9344421584710";39
"93";"6278041752413522";"9361059452297";38
"94";"6278042152141515";"9353190293051";38
"95";"6278042183244114";"9344764467459";38
"96";"6278041330127610";"9344466743653";38
"97";"6278041310205915";"9344454911989";38
"98";"6278042143000713";"9353212277281";38
"99";"6278041833072115";"9344512496427";38
"100";"6278041236910614";"9344515264757";37
"101";"6278041826127918";"9344496570809";37
"102";"6278041029546013";"9355031455567";37
"103";"6278041972744219";"9344795930182";37
"104";"6278041838411417";"9344748465716";36
"105";"6278041305925527";"9344663356397";36
"106";"6278041311917625";"9344454597824";36
"107";"6278042161356518";"9344496438758";36
"108";"6278041333549117";"9355035010519";36
"109";"6278042125384010";"9344607996702";36
"110";"6278042051240111";"9344630287532";36
"111";"6278041594129310";"9344436415269";36
"112";"6278042161370915";"9344421390939";35
"113";"6278042036518912";"9353103765880";35
"114";"6278041244150310";"9344464406833";35
"115";"6278041831728114";"9353101614913";35
"116";"6278041834481828";"9344451360681";35
"117";"6278042118488216";"9344664341897";35
"118";"6278041346586312";"9353139108897";35
"119";"6278041023813427";"9344715077065";35
"120";"6278041330784915";"9344667706082";34
"121";"6278041220534818";"9344677666277";34
"122";"6278042003346610";"9344615386854";34
"123";"6278041755015910";"9344685368675";34
"124";"6278041251339111";"9344523995230";34
"125";"6278041663570410";"9355041167573";34
"126";"6278041777474517";"9344777082793";34
"127";"6278041556004915";"9344470213906";34
"128";"6278042168191710";"9355030632204";34
"129";"6278041150696512";"9344729169244";33
"130";"6278041286615717";"9344472070071";33
"131";"6278041831764713";"9355033061032";33
"132";"6278041577012517";"9344461488047";33
"133";"6278042026977615";"9353174175854";33
"134";"6278041914286618";"9344679081825";33
"135";"6278041286051517";"9344451800507";33
"136";"6278041318191323";"9344508962653";33
"137";"6278042084706617";"9344452460366";33
"138";"6278041832639211";"9344461489655";33
"139";"6278041825115617";"9344669075117";33
"140";"6278041633251125";"9344661284272";33
"141";"6278042051055816";"9344455639455";33
"142";"6278041670991021";"9344459801605";33
"143";"6278041918519428";"9344616062733";33
"144";"6278041313773018";"9344459479187";33
"145";"6278041254774629";"9361059075441";33
"146";"6278042170472314";"9355040047135";33
"147";"6278041718986215";"9344465690934";32
"148";"6278041557347610";"9344685270398";32
"149";"6278041951077714";"9344465282894";32
"150";"6278041236853715";"9344718878065";32
"151";"6278041832894717";"9361059262858";32
"152";"6278042097954519";"9344782776571";32
"153";"6278042174778112";"9355030522512";32
"154";"6278042181579321";"9344479668363";32
"155";"6278041217187711";"9344521425166";32
"156";"6278041926872611";"9355031921543";32
"157";"6278042182266415";"9355054870934";32
"158";"6278042085389215";"9353191417869";32
"159";"6278041354889210";"9344665192580";32
"160";"6278041948275710";"9361058813990";31
"161";"6278042150455016";"9344495177511";31
"162";"6278041806537813";"9344424133281";31
"163";"6278041662689013";"9344495813952";31
"164";"6278041831471319";"9344776392961";31
"165";"6278042007441417";"9353101432463";31
"166";"6278041774751917";"9344405446782";31
"167";"6278041624414120";"9344677147882";31
"168";"6278041016270718";"9344487006287";31
"169";"6278041264995818";"9344537394302";31
"170";"6278041978869713";"9344502688481";31
"171";"6278041233516513";"9344483276776";30
"172";"6278041782444117";"9344513276691";30
"173";"6278041667765826";"9353185121079";30
"174";"6278042068547615";"9353181788313";30
"175";"6278041817439629";"9344452254248";30
"176";"6278041401921412";"9344408708993";30
"177";"6278041032466522";"9344469681334";30
"178";"6278041802251914";"9344460293147";30
"179";"6278041028880918";"9344452375073";30
"180";"6278041454625811";"9353199008939";30
"181";"6278042119236119";"9344664666181";30
"182";"6278041321245215";"9344493737748";30
"183";"6278041910753017";"9344488499071";30
"184";"6278041213858711";"9344458820072";30
"185";"6278042161016211";"9344480627083";29
"186";"6278042184264517";"9361059596991";29
"187";"6278041713136410";"9355034029406";29
"188";"6278041369419714";"9344671796734";29
"189";"6278041765353814";"9344469957569";29
"190";"6278041354397719";"9344625808230";29
"191";"6278041274440110";"9344789321835";29
"192";"6278041353419118";"9344501443593";29
"193";"6278041454383023";"9344420172154";29
"194";"6278041954607517";"9344681269785";29
"195";"6278041089911719";"9344796545965";29
"196";"6278041110831522";"9344608382702";29
"197";"6278042059368815";"9344757501573";29
"198";"6278042185076118";"9353179193082";29
"199";"6278042118591811";"9344491868581";29
"200";"6278042013118611";"9344471467858";29
"201";"6278041815729617";"9344776826930";29
"202";"6278042002675217";"9344692784512";29
"203";"6278041222126316";"9344463151765";29
"204";"6278041478193317";"9344698369706";29
"205";"6278042043253610";"9344512058298";29
"206";"6278041219102320";"9344466954899";28
"207";"6278041709810317";"9344666225508";28
"208";"6278041597484423";"9344510547961";28
"209";"6278041481768311";"9344464187046";28
"210";"6278041231494010";"9344458945737";28
"211";"6278041165939311";"9344464599788";28
"212";"6278041838605026";"9353065092581";28
"213";"6278041351899915";"9344459027791";28
"214";"6278041911938815";"9344707083975";28
"215";"6278041298700614";"9344663783827";28
"216";"6278041726321611";"9344477158477";28
"217";"6278041501086819";"9344483001439";28
"218";"6278042159461718";"9344754851114";28
"219";"6278042042501118";"9344659784128";28
"220";"6278041274496724";"9344505395096";28
"221";"6278042182923015";"9353185405155";27
"222";"6278041055388421";"9344459786087";27
"223";"6278041174302717";"9344411155852";27
"224";"6278042177365610";"9355034705805";27
"225";"6278042119817918";"9344428853239";27
"226";"6278041166147328";"9344461731976";27
"227";"6278042143187221";"9344471222228";27
"228";"6278041840311613";"9344429807972";27
"229";"6278042037347212";"9344421053209";27
"230";"6278042096698216";"9355036461419";27
"231";"6278041287310219";"9344500776074";27
"232";"6278041907992511";"9344669911033";27
"233";"6278042120199314";"9344625978445";27
"234";"6278042080755915";"9344493798015";27
"235";"6278041017721917";"9344518570787";27
"236";"6278041309611115";"9344475724292";27
"237";"6278041603523511";"9344662156110";27
"238";"6278041267144919";"9344470696594";27
"239";"6278042099969010";"9344482752769";27
"240";"6278042140419221";"9344667565696";27
"241";"6278041042874616";"9344403076370";27
"242";"6278041212059311";"9353101000471";27
"243";"6278041817148113";"9344503021508";27
"244";"6278042165807813";"9344665331682";27
