"";"cluster";"source";"target";"size"
"1";2;"02-CONFECTIONERY";"04-BEVERAGES";4444
"2";4;"02-CONFECTIONERY";"04-BEVERAGES";3617
"3";3;"02-CONFECTIONERY";"04-BEVERAGES";3461
"4";1;"02-CONFECTIONERY";"04-BEVERAGES";3395
"5";2;"04-BEVERAGES";"09-BAKERY";3155
"6";2;"04-BEVERAGES";"12-CIGARETTES/TOBACCO";2683
"7";3;"04-BEVERAGES";"12-CIGARETTES/TOBACCO";2479
"8";4;"04-BEVERAGES";"09-BAKERY";2261
"9";3;"04-BEVERAGES";"09-BAKERY";2176
"10";2;"03-SNACKS";"04-BEVERAGES";2039
"11";4;"03-SNACKS";"04-BEVERAGES";2015
"12";1;"04-BEVERAGES";"12-CIGARETTES/TOBACCO";1968
"13";1;"04-BEVERAGES";"09-BAKERY";1905
"14";1;"03-SNACKS";"04-BEVERAGES";1900
"15";4;"04-BEVERAGES";"12-CIGARETTES/TOBACCO";1773
"16";3;"04-BEVERAGES";"10-MILK";1590
"17";2;"09-BAKERY";"10-MILK";1527
"18";3;"10-MILK";"12-CIGARETTES/TOBACCO";1521
"19";3;"03-SNACKS";"04-BEVERAGES";1508
"20";5;"02-CONFECTIONERY";"04-BEVERAGES";1496
"21";2;"04-BEVERAGES";"10-MILK";1482
"22";2;"02-CONFECTIONERY";"10-MILK";1453
"23";2;"04-BEVERAGES";"05-CHILLED PERISHABLES";1424
"24";3;"02-CONFECTIONERY";"10-MILK";1376
"25";2;"10-MILK";"12-CIGARETTES/TOBACCO";1321
"26";5;"04-BEVERAGES";"32-FOODSERVICE PREPARED ON-SITE";1311
"27";4;"04-BEVERAGES";"05-CHILLED PERISHABLES";1197
"28";1;"02-CONFECTIONERY";"10-MILK";1168
"29";3;"09-BAKERY";"10-MILK";1130
"30";2;"02-CONFECTIONERY";"09-BAKERY";1054
"31";3;"02-CONFECTIONERY";"12-CIGARETTES/TOBACCO";1035
"32";4;"02-CONFECTIONERY";"10-MILK";1035
"33";1;"04-BEVERAGES";"05-CHILLED PERISHABLES";1015
"34";1;"04-BEVERAGES";"10-MILK";972
"35";4;"09-BAKERY";"10-MILK";964
"36";1;"02-CONFECTIONERY";"12-CIGARETTES/TOBACCO";944
"37";1;"10-MILK";"12-CIGARETTES/TOBACCO";936
"38";3;"04-BEVERAGES";"05-CHILLED PERISHABLES";924
"39";4;"02-CONFECTIONERY";"03-SNACKS";921
"40";1;"02-CONFECTIONERY";"03-SNACKS";908
"41";2;"02-CONFECTIONERY";"12-CIGARETTES/TOBACCO";905
"42";4;"04-BEVERAGES";"10-MILK";881
"43";1;"09-BAKERY";"10-MILK";871
"44";5;"04-BEVERAGES";"12-CIGARETTES/TOBACCO";806
"45";2;"04-BEVERAGES";"32-FOODSERVICE PREPARED ON-SITE";793
"46";4;"02-CONFECTIONERY";"09-BAKERY";784
"47";2;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";764
"48";2;"02-CONFECTIONERY";"03-SNACKS";727
"49";4;"02-CONFECTIONERY";"12-CIGARETTES/TOBACCO";724
"50";3;"02-CONFECTIONERY";"09-BAKERY";715
"51";5;"03-SNACKS";"04-BEVERAGES";704
"52";3;"02-CONFECTIONERY";"03-SNACKS";670
"53";4;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";670
"54";1;"02-CONFECTIONERY";"09-BAKERY";665
"55";4;"10-MILK";"12-CIGARETTES/TOBACCO";647
"56";5;"04-BEVERAGES";"10-MILK";644
"57";5;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";619
"58";1;"04-BEVERAGES";"11-ICE CREAM";616
"59";2;"09-BAKERY";"12-CIGARETTES/TOBACCO";614
"60";1;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";607
"61";5;"04-BEVERAGES";"09-BAKERY";551
"62";2;"04-BEVERAGES";"11-ICE CREAM";550
"63";4;"04-BEVERAGES";"11-ICE CREAM";544
"64";2;"03-SNACKS";"10-MILK";541
"65";3;"04-BEVERAGES";"11-ICE CREAM";538
"66";5;"02-CONFECTIONERY";"10-MILK";508
"67";1;"02-CONFECTIONERY";"11-ICE CREAM";506
"68";1;"03-SNACKS";"10-MILK";497
"69";3;"09-BAKERY";"12-CIGARETTES/TOBACCO";494
"70";3;"03-SNACKS";"10-MILK";491
"71";2;"05-CHILLED PERISHABLES";"10-MILK";486
"72";3;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";481
"73";4;"03-SNACKS";"10-MILK";481
"74";5;"10-MILK";"12-CIGARETTES/TOBACCO";446
"75";2;"03-SNACKS";"05-CHILLED PERISHABLES";434
"76";2;"04-BEVERAGES";"56-LOCAL ITEMS";432
"77";4;"09-BAKERY";"12-CIGARETTES/TOBACCO";421
"78";4;"03-SNACKS";"05-CHILLED PERISHABLES";419
"79";2;"03-SNACKS";"09-BAKERY";408
"80";3;"02-CONFECTIONERY";"11-ICE CREAM";397
"81";2;"04-BEVERAGES";"21-PUBLICATIONS";396
"82";1;"09-BAKERY";"12-CIGARETTES/TOBACCO";393
"83";1;"03-SNACKS";"05-CHILLED PERISHABLES";391
"84";4;"05-CHILLED PERISHABLES";"10-MILK";389
"85";3;"05-CHILLED PERISHABLES";"10-MILK";382
"86";2;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";381
"87";3;"04-BEVERAGES";"32-FOODSERVICE PREPARED ON-SITE";362
"88";1;"08-BREAD";"10-MILK";355
"89";4;"02-CONFECTIONERY";"11-ICE CREAM";353
"90";4;"03-SNACKS";"09-BAKERY";352
"91";1;"05-CHILLED PERISHABLES";"10-MILK";350
"92";1;"03-SNACKS";"09-BAKERY";330
"93";3;"04-BEVERAGES";"56-LOCAL ITEMS";318
"94";3;"04-BEVERAGES";"26-COMMUNICATION";315
"95";5;"09-BAKERY";"10-MILK";314
"96";5;"04-BEVERAGES";"11-ICE CREAM";313
"97";2;"05-CHILLED PERISHABLES";"09-BAKERY";313
"98";5;"04-BEVERAGES";"56-LOCAL ITEMS";310
"99";1;"04-BEVERAGES";"21-PUBLICATIONS";307
"100";1;"03-SNACKS";"12-CIGARETTES/TOBACCO";306
"101";1;"10-MILK";"11-ICE CREAM";303
"102";2;"10-MILK";"21-PUBLICATIONS";301
"103";3;"08-BREAD";"10-MILK";300
"104";3;"03-SNACKS";"09-BAKERY";300
"105";2;"02-CONFECTIONERY";"11-ICE CREAM";293
"106";5;"02-CONFECTIONERY";"12-CIGARETTES/TOBACCO";283
"107";5;"02-CONFECTIONERY";"03-SNACKS";283
"108";3;"10-MILK";"11-ICE CREAM";283
"109";4;"05-CHILLED PERISHABLES";"09-BAKERY";280
"110";3;"03-SNACKS";"12-CIGARETTES/TOBACCO";279
"111";3;"04-BEVERAGES";"21-PUBLICATIONS";276
"112";3;"10-MILK";"21-PUBLICATIONS";271
"113";3;"03-SNACKS";"05-CHILLED PERISHABLES";267
"114";1;"10-MILK";"21-PUBLICATIONS";263
"115";2;"02-CONFECTIONERY";"21-PUBLICATIONS";252
"116";1;"05-CHILLED PERISHABLES";"09-BAKERY";246
"117";4;"04-BEVERAGES";"21-PUBLICATIONS";244
"118";2;"04-BEVERAGES";"14-HEALTH AND BEAUTY";243
"119";2;"04-BEVERAGES";"43-MEAL REPLACEMENTS";243
"120";1;"04-BEVERAGES";"56-LOCAL ITEMS";239
"121";2;"10-MILK";"56-LOCAL ITEMS";238
"122";4;"03-SNACKS";"12-CIGARETTES/TOBACCO";238
"123";2;"03-SNACKS";"12-CIGARETTES/TOBACCO";232
"124";1;"03-SNACKS";"11-ICE CREAM";230
"125";1;"04-BEVERAGES";"14-HEALTH AND BEAUTY";225
"126";4;"04-BEVERAGES";"14-HEALTH AND BEAUTY";220
"127";3;"10-MILK";"56-LOCAL ITEMS";220
"128";1;"02-CONFECTIONERY";"21-PUBLICATIONS";218
"129";3;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";215
"130";5;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";215
"131";3;"04-BEVERAGES";"14-HEALTH AND BEAUTY";211
"132";4;"04-BEVERAGES";"32-FOODSERVICE PREPARED ON-SITE";211
"133";3;"04-BEVERAGES";"43-MEAL REPLACEMENTS";209
"134";3;"05-CHILLED PERISHABLES";"09-BAKERY";206
"135";5;"04-BEVERAGES";"05-CHILLED PERISHABLES";206
"136";5;"03-SNACKS";"10-MILK";201
"137";2;"08-BREAD";"10-MILK";201
"138";1;"04-BEVERAGES";"43-MEAL REPLACEMENTS";194
"139";1;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";193
"140";4;"04-BEVERAGES";"43-MEAL REPLACEMENTS";188
"141";2;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";185
"142";2;"10-MILK";"11-ICE CREAM";183
"143";2;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";183
"144";4;"03-SNACKS";"11-ICE CREAM";181
"145";2;"04-BEVERAGES";"26-COMMUNICATION";179
"146";5;"21-PUBLICATIONS";"56-LOCAL ITEMS";179
"147";3;"10-MILK";"26-COMMUNICATION";176
"148";3;"02-CONFECTIONERY";"56-LOCAL ITEMS";174
"149";3;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";172
"150";5;"10-MILK";"56-LOCAL ITEMS";172
"151";1;"10-MILK";"56-LOCAL ITEMS";171
"152";3;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";171
"153";3;"10-MILK";"32-FOODSERVICE PREPARED ON-SITE";171
"154";5;"32-FOODSERVICE PREPARED ON-SITE";"56-LOCAL ITEMS";169
"155";4;"10-MILK";"21-PUBLICATIONS";164
"156";1;"11-ICE CREAM";"12-CIGARETTES/TOBACCO";162
"157";4;"10-MILK";"11-ICE CREAM";160
"158";4;"08-BREAD";"10-MILK";158
"159";5;"02-CONFECTIONERY";"11-ICE CREAM";157
"160";2;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";155
"161";1;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";155
"162";5;"02-CONFECTIONERY";"56-LOCAL ITEMS";153
"163";3;"02-CONFECTIONERY";"26-COMMUNICATION";152
"164";5;"02-CONFECTIONERY";"09-BAKERY";152
"165";3;"02-CONFECTIONERY";"21-PUBLICATIONS";151
"166";4;"04-BEVERAGES";"56-LOCAL ITEMS";151
"167";1;"02-CONFECTIONERY";"56-LOCAL ITEMS";150
"168";2;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";148
"169";2;"04-BEVERAGES";"18-AUTOMOTIVE";148
"170";4;"05-CHILLED PERISHABLES";"12-CIGARETTES/TOBACCO";146
"171";4;"02-CONFECTIONERY";"21-PUBLICATIONS";146
"172";3;"12-CIGARETTES/TOBACCO";"21-PUBLICATIONS";146
"173";1;"04-BEVERAGES";"26-COMMUNICATION";142
"174";5;"12-CIGARETTES/TOBACCO";"32-FOODSERVICE PREPARED ON-SITE";141
"175";2;"02-CONFECTIONERY";"56-LOCAL ITEMS";140
"176";5;"04-BEVERAGES";"21-PUBLICATIONS";136
"177";3;"03-SNACKS";"11-ICE CREAM";136
"178";4;"04-BEVERAGES";"26-COMMUNICATION";136
"179";2;"09-BAKERY";"56-LOCAL ITEMS";136
"180";2;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";135
"181";2;"03-SNACKS";"11-ICE CREAM";132
"182";2;"09-BAKERY";"21-PUBLICATIONS";132
"183";2;"04-BEVERAGES";"99-SYSTEM";131
"184";3;"04-BEVERAGES";"18-AUTOMOTIVE";131
"185";3;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";130
"186";1;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";127
"187";4;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";126
"188";4;"03-SNACKS";"43-MEAL REPLACEMENTS";125
"189";2;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";125
"190";3;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";124
"191";1;"02-CONFECTIONERY";"08-BREAD";123
"192";3;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";122
"193";1;"04-BEVERAGES";"18-AUTOMOTIVE";122
"194";1;"02-CONFECTIONERY";"43-MEAL REPLACEMENTS";121
"195";3;"09-BAKERY";"21-PUBLICATIONS";120
"196";5;"04-BEVERAGES";"99-SYSTEM";120
"197";2;"05-CHILLED PERISHABLES";"43-MEAL REPLACEMENTS";118
"198";5;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";117
"199";4;"02-CONFECTIONERY";"14-HEALTH AND BEAUTY";117
"200";2;"01-GROCERY FOOD";"04-BEVERAGES";115
"201";5;"04-BEVERAGES";"45-ALTERNATE BUSINESS – TAKEAWAY";115
"202";1;"04-BEVERAGES";"08-BREAD";114
"203";1;"01-GROCERY FOOD";"10-MILK";114
"204";4;"04-BEVERAGES";"18-AUTOMOTIVE";113
"205";3;"01-GROCERY FOOD";"10-MILK";113
"206";3;"04-BEVERAGES";"08-BREAD";113
"207";2;"12-CIGARETTES/TOBACCO";"26-COMMUNICATION";112
"208";2;"09-BAKERY";"32-FOODSERVICE PREPARED ON-SITE";112
"209";2;"09-BAKERY";"43-MEAL REPLACEMENTS";110
"210";5;"05-CHILLED PERISHABLES";"10-MILK";109
"211";3;"01-GROCERY FOOD";"04-BEVERAGES";108
"212";1;"01-GROCERY FOOD";"04-BEVERAGES";108
"213";3;"02-CONFECTIONERY";"32-FOODSERVICE PREPARED ON-SITE";107
"214";1;"03-SNACKS";"43-MEAL REPLACEMENTS";107
"215";2;"21-PUBLICATIONS";"56-LOCAL ITEMS";106
"216";1;"09-BAKERY";"21-PUBLICATIONS";104
"217";1;"04-BEVERAGES";"13-GROCERY NON FOOD";103
"218";5;"02-CONFECTIONERY";"05-CHILLED PERISHABLES";102
"219";2;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";102
"220";5;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";101
"221";1;"09-BAKERY";"11-ICE CREAM";101
"222";1;"12-CIGARETTES/TOBACCO";"56-LOCAL ITEMS";101
