"";"cluster";"name";"size";"group"
"1";2;"01-GROCERY FOOD";467;8
"2";1;"01-GROCERY FOOD";657;8
"3";1;"02-CONFECTIONERY";15294;9
"4";2;"02-CONFECTIONERY";14575;8
"5";1;"03-SNACKS";6077;6
"6";2;"03-SNACKS";5437;1
"7";1;"04-BEVERAGES";27627;9
"8";2;"04-BEVERAGES";38548;2
"9";2;"05-CHILLED PERISHABLES";3198;2
"10";1;"05-CHILLED PERISHABLES";2704;6
"11";2;"06-FROZEN FOODS";19;4
"12";1;"06-FROZEN FOODS";40;7
"13";1;"07-ICE";533;4
"14";2;"07-ICE";506;7
"15";2;"08-BREAD";528;4
"16";1;"08-BREAD";914;2
"17";1;"09-BAKERY";7370;4
"18";2;"09-BAKERY";10980;6
"19";2;"10-MILK";14196;3
"20";1;"10-MILK";10246;8
"21";2;"11-ICE CREAM";3013;3
"22";1;"11-ICE CREAM";5016;7
"23";2;"12-CIGARETTES/TOBACCO";12015;9
"24";1;"12-CIGARETTES/TOBACCO";11128;7
"25";2;"13-GROCERY NON FOOD";290;4
"26";1;"13-GROCERY NON FOOD";569;2
"27";1;"14-HEALTH AND BEAUTY";834;6
"28";2;"14-HEALTH AND BEAUTY";782;1
"29";1;"18-AUTOMOTIVE";1038;6
"30";2;"18-AUTOMOTIVE";1054;10
"31";1;"19-AUTOMOTIVE SERVICES";380;4
"32";2;"19-AUTOMOTIVE SERVICES";210;5
"33";1;"20-GAS";138;5
"34";2;"20-GAS";54;4
"35";1;"21-PUBLICATIONS";4357;4
"36";2;"21-PUBLICATIONS";3421;9
"37";2;"22-GENERAL MERCHANDISE";338;5
"38";1;"22-GENERAL MERCHANDISE";533;1
"39";1;"26-COMMUNICATION";1440;9
"40";2;"26-COMMUNICATION";1268;5
"41";2;"29-HOT BEVERAGE";7;7
"42";1;"29-HOT BEVERAGE";7;2
"43";1;"31-SERVICES";103;2
"44";2;"31-SERVICES";133;5
"45";2;"32-FOODSERVICE PREPARED ON-SITE";3487;7
"46";1;"32-FOODSERVICE PREPARED ON-SITE";505;5
"47";1;"43-MEAL REPLACEMENTS";1327;8
"48";2;"43-MEAL REPLACEMENTS";1436;7
"49";1;"44-TAKE AWAY FOOD PREPARED";7;6
"50";2;"44-TAKE AWAY FOOD PREPARED";225;2
"51";2;"51-AUSTRALIA POST";9;7
"52";1;"51-AUSTRALIA POST";133;10
"53";1;"56-LOCAL ITEMS";1490;2
"54";2;"56-LOCAL ITEMS";1921;7
"55";2;"99-SYSTEM";1954;1
"56";1;"99-SYSTEM";1806;6
