name,lat,lng,Group,State,detail
15590,-23.7951,133.889,Weather_Station,NT, ALICE SPRINGS AIRPORT                   
14272,-13.0544,131.0252,Weather_Station,NT, BATCHELOR AIRPORT                       
14723,-16.0755,136.3041,Weather_Station,NT, BORROLOOLA AIRPORT                      
14954,-14.9408,130.8091,Weather_Station,NT, BRADSHAW                                
14808,-15.4397,130.5731,Weather_Station,NT, BRADSHAW (ANGALLARI VALLEY) (DEFENCE)   
14627,-13.6715,134.3415,Weather_Station,NT, BULMAN                                  
14909,-13.3275,133.0861,Weather_Station,NT, CENTRAL ARNHEM PLATEAU                  
14308,-11.1629,132.4813,Weather_Station,NT, CROKER ISLAND AIRPORT                   
14626,-16.2637,133.3782,Weather_Station,NT, DALY WATERS AIRSTRIP                    
14015,-12.4239,130.8925,Weather_Station,NT, DARWIN AIRPORT                          
14949,-15.7441,131.9181,Weather_Station,NT, DELAMERE WEAPONS RANGE                  
14901,-13.8345,131.1872,Weather_Station,NT, DOUGLAS RIVER RESEARCH FARM             
14277,-12.635,130.3725,Weather_Station,NT, DUM IN MIRRIE AIRSTRIP                  
14508,-12.2741,136.8201,Weather_Station,NT, GOVE AIRPORT                            
14518,-13.9746,136.463,Weather_Station,NT, GROOTE EYLANDT AIRPORT                  
14198,-12.6592,132.894,Weather_Station,NT, JABIRU AIRPORT                          
15602,-22.9494,136.1442,Weather_Station,NT, JERVOIS                                 
14982,-12.7934,130.8542,Weather_Station,NT, KANGAROO FLATS (DEFENCE)                
14829,-18.3324,130.6361,Weather_Station,NT, LAJAMANU AIRPORT                        
14405,-12.0569,134.2339,Weather_Station,NT, MANINGRIDA AIRPORT                      
14704,-16.4423,136.076,Weather_Station,NT, MCARTHUR RIVER MINE AIRPORT             
14274,-11.0468,132.9791,Weather_Station,NT, MCCLUER ISLAND                          
14041,-12.605,131.2988,Weather_Station,NT, MIDDLE POINT                            
14404,-12.0932,134.8919,Weather_Station,NT, MILINGIMBI AIRPORT                      
14983,-12.9114,131.8663,Weather_Station,NT, MOUNT BUNDEY NORTH (DEFENCE)            
14984,-13.0889,131.8478,Weather_Station,NT, MOUNT BUNDEY SOUTH (DEFENCE)            
14309,-11.5485,132.9266,Weather_Station,NT, MURGANELLA AIRSTRIP                     
14517,-11.9971,135.5726,Weather_Station,NT, NGAYAWILI                               
14299,-14.7236,134.7456,Weather_Station,NT, NGUKURR AIRPORT                         
14314,-12.6099,131.0474,Weather_Station,NT, NOONAMAH AIRSTRIP                       
14310,-12.3272,133.0069,Weather_Station,NT, OENPELLI AIRPORT                        
14142,-11.4021,130.4217,Weather_Station,NT, PIRLANGIMPI AIRPORT                     
14254,-12.2397,131.8791,Weather_Station,NT, POINT STUART                            
14948,-14.2494,129.5282,Weather_Station,NT, PORT KEATS AIRPORT                      
15666,-20.1823,130.0148,Weather_Station,NT, RABBIT FLAT                             
15135,-19.6423,134.1833,Weather_Station,NT, TENNANT CREEK AIRPORT                   
15643,-22.4518,133.6377,Weather_Station,NT, TERRITORY GRAPE FARM                    
14932,-14.5229,132.3826,Weather_Station,NT, TINDAL RAAF                             
14825,-16.403,131.0145,Weather_Station,NT, VICTORIA RIVER DOWNS                    
