"";"cluster";"name";"size";"group"
"1";1;"01-GROCERY FOOD";657;1
"2";2;"01-GROCERY FOOD";467;5
"3";4;"01-GROCERY FOOD";407;2
"4";5;"01-GROCERY FOOD";141;7
"5";3;"01-GROCERY FOOD";485;5
"6";2;"02-CONFECTIONERY";14575;4
"7";3;"02-CONFECTIONERY";13755;7
"8";4;"02-CONFECTIONERY";13254;7
"9";5;"02-CONFECTIONERY";5754;4
"10";1;"02-CONFECTIONERY";15294;8
"11";2;"03-SNACKS";5437;2
"12";5;"03-SNACKS";1831;4
"13";3;"03-SNACKS";4476;9
"14";4;"03-SNACKS";5925;7
"15";1;"03-SNACKS";6077;3
"16";3;"04-BEVERAGES";33094;10
"17";5;"04-BEVERAGES";15718;9
"18";4;"04-BEVERAGES";26989;6
"19";2;"04-BEVERAGES";38548;2
"20";1;"04-BEVERAGES";27627;5
"21";3;"05-CHILLED PERISHABLES";2223;1
"22";1;"05-CHILLED PERISHABLES";2704;1
"23";5;"05-CHILLED PERISHABLES";527;8
"24";2;"05-CHILLED PERISHABLES";3198;3
"25";4;"05-CHILLED PERISHABLES";2874;3
"26";3;"06-FROZEN FOODS";45;2
"27";2;"06-FROZEN FOODS";19;6
"28";1;"06-FROZEN FOODS";40;8
"29";5;"06-FROZEN FOODS";3;8
"30";4;"06-FROZEN FOODS";18;8
"31";3;"07-ICE";586;9
"32";4;"07-ICE";322;4
"33";2;"07-ICE";506;4
"34";1;"07-ICE";533;3
"35";5;"07-ICE";314;8
"36";4;"08-BREAD";473;5
"37";2;"08-BREAD";528;8
"38";1;"08-BREAD";914;2
"39";3;"08-BREAD";746;9
"40";5;"08-BREAD";164;3
"41";1;"09-BAKERY";7370;4
"42";2;"09-BAKERY";10980;5
"43";5;"09-BAKERY";1974;4
"44";3;"09-BAKERY";7700;4
"45";4;"09-BAKERY";8702;1
"46";1;"10-MILK";10246;6
"47";4;"10-MILK";7993;8
"48";5;"10-MILK";5875;5
"49";3;"10-MILK";14117;3
"50";2;"10-MILK";14196;6
"51";4;"11-ICE CREAM";3249;5
"52";2;"11-ICE CREAM";3013;7
"53";1;"11-ICE CREAM";5016;7
"54";5;"11-ICE CREAM";1832;4
"55";3;"11-ICE CREAM";3613;5
"56";3;"12-CIGARETTES/TOBACCO";12573;6
"57";2;"12-CIGARETTES/TOBACCO";12015;2
"58";5;"12-CIGARETTES/TOBACCO";3802;6
"59";1;"12-CIGARETTES/TOBACCO";11128;4
"60";4;"12-CIGARETTES/TOBACCO";7911;9
"61";2;"13-GROCERY NON FOOD";290;2
"62";3;"13-GROCERY NON FOOD";465;8
"63";5;"13-GROCERY NON FOOD";93;3
"64";4;"13-GROCERY NON FOOD";256;2
"65";1;"13-GROCERY NON FOOD";569;8
"66";1;"14-HEALTH AND BEAUTY";834;9
"67";2;"14-HEALTH AND BEAUTY";782;9
"68";5;"14-HEALTH AND BEAUTY";246;6
"69";3;"14-HEALTH AND BEAUTY";760;4
"70";4;"14-HEALTH AND BEAUTY";724;1
"71";5;"18-AUTOMOTIVE";476;8
"72";4;"18-AUTOMOTIVE";830;2
"73";3;"18-AUTOMOTIVE";922;7
"74";1;"18-AUTOMOTIVE";1038;6
"75";2;"18-AUTOMOTIVE";1054;2
"76";2;"19-AUTOMOTIVE SERVICES";210;10
"77";3;"19-AUTOMOTIVE SERVICES";165;3
"78";1;"19-AUTOMOTIVE SERVICES";380;8
"79";4;"19-AUTOMOTIVE SERVICES";263;2
"80";5;"19-AUTOMOTIVE SERVICES";80;4
"81";2;"20-GAS";54;3
"82";3;"20-GAS";93;7
"83";1;"20-GAS";138;5
"84";4;"20-GAS";48;3
"85";5;"20-GAS";60;3
"86";5;"21-PUBLICATIONS";1561;9
"87";2;"21-PUBLICATIONS";3421;4
"88";3;"21-PUBLICATIONS";3208;8
"89";1;"21-PUBLICATIONS";4357;9
"90";4;"21-PUBLICATIONS";2145;6
"91";1;"22-GENERAL MERCHANDISE";533;3
"92";2;"22-GENERAL MERCHANDISE";338;4
"93";5;"22-GENERAL MERCHANDISE";188;8
"94";4;"22-GENERAL MERCHANDISE";240;6
