"osm_id","name","highway","lanes","oneway","maxspeed","ref","road_type","start_longitude","start_latitude","end_longitude","end_latitude"
"2842",NA,"motorway","3","yes","70 mph","M25","motorway",-0.2305338,51.6869996,-0.2353314,51.6904557
"2845",NA,"motorway","3","yes","70 mph","M25","motorway",-0.3928802,51.7150364,-0.3795911,51.7164788
"131631",NA,"motorway","4","yes","70 mph","M25","motorway",-0.5008202,51.5373522,-0.5011555,51.5141277
"343709",NA,"motorway","2","yes","40 mph","M4","motorway",-0.2771888,51.4893105,-0.2795234,51.4902307
"951326",NA,"motorway","3","yes","70 mph","M3","motorway",-1.1448211,51.2222124,-1.1710867,51.2130809
"951327",NA,"motorway","3","yes","70 mph","M3","motorway",-1.1712255,51.2132259,-1.1448681,51.2223447
"952646",NA,"motorway","3","yes","70 mph","M3","motorway",-1.1715498,51.2128125,-1.1732124,51.2118313
"952648",NA,"motorway","2","yes","70 mph","M3","motorway",-1.2510473,51.1239787,-1.1963454,51.1978187
"952742",NA,"motorway","2","yes","70 mph","M3","motorway",-1.196303,51.1977139,-1.2508851,51.1239447
"952822",NA,"motorway","3","yes","70 mph","M3","motorway",-1.1448681,51.2223447,-1.1094811,51.2377917
"1056074",NA,"motorway","4","yes","70 mph","M25","motorway",-0.4908509,51.3533273,-0.4951666,51.357951
"1441662",NA,"motorway","3","yes","70 mph","M25","motorway",0.09696,51.6891103,0.1022574,51.6868186
"1655339",NA,"motorway","4","yes","70 mph","M25","motorway",-0.1830213,51.6838322,-0.175575,51.6849509
"1735707",NA,"motorway","2","yes","70 mph","A404(M)","motorway",-0.7657446,51.5206262,-0.7625972,51.5162627
"1735777",NA,"motorway","2","yes","70 mph","A308(M)","motorway",-0.7241377,51.4999721,-0.7130947,51.5041029
"1859974",NA,"motorway","2","yes","70 mph","A404(M)","motorway",-0.725221,51.4996139,-0.728008,51.5033353
"1860034","Holyport Interchange","motorway","3","yes","70 mph","M4","motorway",-0.722608,51.4986291,-0.7245486,51.4981986
"1860347",NA,"motorway","2","yes","70 mph","A404(M)","motorway",-0.7627644,51.516235,-0.7661771,51.5208159
"1861958",NA,"motorway","3","yes","70 mph","M4","motorway",-0.7141213,51.4993127,-0.732704,51.4959691
"1880415","Heathrow Airport Spur Road","motorway","3","yes","50 mph","M4","motorway",-0.4524357,51.4956526,-0.4525625,51.4952638
"1880986",NA,"motorway","4","yes","70 mph","M25","motorway",-0.1185362,51.6885305,-0.1463637,51.6854693
"1880997",NA,"motorway","3","yes","70 mph","M25","motorway",-0.2227859,51.6845636,-0.2272967,51.6857214
"1881098",NA,"motorway","2","yes","70 mph","M25","motorway",0.1309637,51.2881756,0.139132,51.2903566
"1881099",NA,"motorway","3","yes","70 mph","M25","motorway",0.190269,51.3834194,0.1886659,51.3814041
"1881100",NA,"motorway","3","yes","70 mph","M25","motorway",0.1945245,51.3898115,0.196914,51.3930925
"1881101",NA,"motorway","3","yes","70 mph","M25","motorway",0.2393467,51.4291974,0.2392017,51.4283038
"1881102",NA,"motorway","3","yes","70 mph","M25","motorway",0.013314,51.6792166,-0.0104226,51.6804777
"1881103",NA,"motorway","3","yes","70 mph","M25","motorway",0.127615,51.678944,0.1253352,51.6793291
"1881111",NA,"motorway","4","yes","70 mph","M25","motorway",0.2549023,51.6154014,0.1914841,51.6529597
"1881113",NA,"motorway","3","yes","60 mph","M25","motorway",0.23903,51.428461,0.2391599,51.4299202
"2588260","Barnet Bypass","motorway","2","yes","70 mph","A1(M)","motorway",-0.2332556,51.6807599,-0.2264236,51.6902554
"2631580",NA,"motorway","3","yes","70 mph","M4","motorway",-0.6152718,51.5029131,-0.6090319,51.5021368
"2631589",NA,"motorway","3","yes","70 mph","M4","motorway",-0.452172,51.4956892,-0.444087,51.4949724
"2714200",NA,"motorway","3","yes","70 mph","M25","motorway",-0.1226969,51.2629667,-0.1374361,51.2647611
"2714202",NA,"motorway","4","yes","70 mph","M25","motorway",-0.3187114,51.3013603,-0.3226566,51.306292
"2722515",NA,"motorway","4","yes","70 mph","M25","motorway",-0.0924602,51.2574275,-0.1117391,51.2599316
"2722520",NA,"motorway","4","yes","70 mph","M25","motorway",0.0955575,51.2802444,0.1064795,51.2843134
"2722521",NA,"motorway","2","yes","70 mph","M25","motorway",0.1470602,51.2929972,0.1444595,51.2918617
"2818814",NA,"motorway","2","yes","70 mph","A1(M)","motorway",-0.2032041,51.8412204,-0.1967143,51.8624926
"2818815",NA,"motorway","2","yes","70 mph","A1(M)","motorway",-0.2025028,51.8792894,-0.1967732,51.8646556
"2819161",NA,"motorway","2","yes","70 mph","A1(M)","motorway",-0.2221989,51.9236907,-0.2258331,51.9063326
"2819254",NA,"motorway","3","yes","70 mph","A1(M)","motorway",-0.2141311,51.9405382,-0.2113646,51.9513181
"2819255",NA,"motorway","2","yes","70 mph","A1(M)","motorway",-0.1999803,51.9662234,-0.2065697,51.9608701
"2898236","Wheatley Spur","motorway","2","yes","70 mph","M40","motorway",-1.0744556,51.7315794,-1.0838268,51.7334019
"2954284",NA,"motorway","3","yes","70 mph","M4","motorway",-0.652367,51.511003,-0.6173912,51.5033794
"2954286",NA,"motorway","3","yes","70 mph","M4","motorway",-0.8407214,51.4372612,-0.7411825,51.4917237
"2954345",NA,"motorway","3","yes","70 mph","M4","motorway",-0.9626061,51.4118756,-0.9120021,51.4201438
"2954346",NA,"motorway","2","yes","70 mph","A329(M)","motorway",-0.7998024,51.4135937,-0.8044455,51.4158701
"2954353",NA,"motorway","3","yes","70 mph","M4","motorway",-1.0593118,51.4364924,-1.057146,51.4355716
"2954355",NA,"motorway","3","yes","70 mph","M4","motorway",-1.3087694,51.4528872,-1.2661464,51.4653639
"2954357",NA,"motorway","3","yes","70 mph","M4","motorway",-1.2661887,51.4651676,-1.3087398,51.4527512
"2954358",NA,"motorway","3","yes","70 mph","M4","motorway",-1.5293744,51.4717654,-1.4835845,51.453349
"2954384",NA,"motorway","3","yes","70 mph","M4","motorway",-1.4253471,51.4477162,-1.4815688,51.4526299
"2968752",NA,"motorway","3","yes","70 mph","M11","motorway",0.0839014,51.6401945,0.0581645,51.6145591
"2968753",NA,"motorway","2","yes","50 mph","M11","motorway",0.0399546,51.5958975,0.0421723,51.5977009
"2968755",NA,"motorway","3","yes","70 mph","M11","motorway",0.0861412,51.6417473,0.1123638,51.6633792
"3092595",NA,"motorway","3","yes","70 mph","M23","motorway",-0.1359303,51.1548154,-0.1320057,51.1630535
"3256120",NA,"motorway","3","yes","70 mph","M25","motorway",-0.5363698,51.3989735,-0.5336853,51.3948088
"3256121",NA,"motorway","3","yes","70 mph","M25","motorway",-0.511641,51.3789858,-0.509011,51.3749973
"3256122",NA,"motorway","4","yes","70 mph","M25","motorway",-0.4855376,51.3474694,-0.4780439,51.3291228
"3256123",NA,"motorway","3","yes","50 mph","M25","motorway",-0.4558363,51.3236577,-0.4436652,51.3197896
"3256124",NA,"motorway","3","yes","50 mph","M25","motorway",-0.4437347,51.3195976,-0.4570733,51.3237323
"3405103",NA,"motorway","4","yes","70 mph","M25","motorway",-0.166222,51.2684876,-0.2031589,51.2579942
"3405105",NA,"motorway","4","yes","70 mph","M25","motorway",-0.3364532,51.3155332,-0.3281583,51.3127156
"3631212",NA,"motorway","2","yes","70 mph","A1(M)","motorway",-0.2237632,51.7790771,-0.2234108,51.7789074
"3663016",NA,"motorway","3","yes","70 mph","M23","motorway",-0.1410461,51.1335438,-0.1371464,51.1157497
"3976915",NA,"motorway","2","yes","70 mph","M11","motorway",0.1911928,52.0550965,0.1848341,52.0649476
"3976916",NA,"motorway","2","yes","70 mph","M11","motorway",0.1860605,52.063703,0.189018,52.0590108
"3992757",NA,"motorway","2","yes","70 mph","M11","motorway",0.2196282,51.9207262,0.2227057,51.9073076
"3992787",NA,"motorway","2","yes","70 mph","M25","motorway",0.1309637,51.2881756,0.1434674,51.2916394
"3992806",NA,"motorway","4","yes","70 mph","M2","motorway",0.483132,51.3704654,0.5049689,51.3416348
"3992813",NA,"motorway","2","yes","70 mph","M2","motorway",0.578307,51.334707,0.5904714,51.3375744
