"osm_id","name","access","active_traffic_management","admin_name","alt_name","bicycle","bridge","bridge.name","bridge_ref","carriageway_ref","carriageway_ref.backward","carriageway_ref.forward","change","change.lanes","check_date","construction_contract_name","cycleway","cycleway.both","destination","destination.colour","destination.lanes","destination.ref","destination.ref.lanes","destination.ref.to","destination.symbol","destination.symbol.lanes","embankment","enforcement.maxspeed","foot","from.motorway","hazard","highway","highway_1","incline","int_ref","is_in","junction.ref","lane_markings","lanes","lanes.backward","lanes.forward","layer","lit","maxheight","maxheight.signed","maxspeed","maxspeed.advisory","maxspeed.enforcement","maxspeed.type","maxspeed.variable","mkgmap.flare.check","motor_vehicle","national_highways.area","note","old_ref","oneway","opening_date","operator","operator.wikidata","placement","placement.forward","project_name","proposed.active_traffic_management","ref","shoulder","shoulder.surface","sidewalk","smoothness","source","source.bridge","source.destination","source.lit","source.maxspeed","source.operator","start_date","surface","traffic_calming","tunnel","turn","turn.lanes","turn.lanes.forward","width","start_longitude","start_latitude","end_longitude","end_latitude"
"2738",NA,NA,"no",NA,NA,NA,"yes",NA,NA,"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","yes",NA,NA,"70 mph","30 mph",NA,"GB:motorway","no",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M1",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.2361155,51.6014825,-0.2402527,51.6041533
"2785","Huntercombe Spur",NA,"no",NA,"Hunterscombe Spur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maidenhead Bypass",NA,NA,"Slough (West)",NA,NA,"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"3",NA,"A4(M)","yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,"signposts",NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6563284,51.5121515,-0.6545747,51.5155925
"2786","Huntercombe Spur",NA,"yes",NA,"Hunterscombe Spur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huntercombe Spur",NA,NA,"SOUTH WALES;Reading",NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"3",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.6556836,51.5111596,-0.6615466,51.5116744
"2843",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"L",NA,NA,NA,NA,NA,NA,NA,NA,"Stansted;Dartford;Heathrow",NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"8",NA,NA,"yes",NA,"National Highways","Q5760006","transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.3887962,51.7255987,-0.3878808,51.723776
"2844",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"L",NA,NA,NA,NA,NA,NA,NA,NA,"The NORTH;Luton",NA,NA,"M1",NA,NA,"airport",NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.3733301,51.715465,-0.3779191,51.7158286
"1095133",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"WS",NA,NA,NA,NA,NA,NA,NA,NA,"Heathrow",NA,NA,"M25(S);M4;M23",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5408497,51.5625865,-0.5401466,51.5626028
"1095217",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,"Birmingham;Oxford",NA,NA,"M40 (W)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M40","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5276119,51.5545233,-0.5291328,51.5563071
"1095218",NA,NA,"no",NA,NA,NA,NA,NA,NA,"ES",NA,NA,NA,NA,NA,NA,NA,NA,"Heathrow;Watford",NA,NA,"M25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","no",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M25","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5185445,51.5606606,-0.5258941,51.5580095
"1095266",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,"Birmingham;Oxford",NA,NA,"M40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M40","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5307181,51.5599981,-0.5287458,51.5579343
"1095267",NA,NA,"yes",NA,NA,NA,NA,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,"London (W & C);Uxbridge",NA,NA,"M40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"motorway_link",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"yes",NA,NA,"70 mph",NA,NA,"GB:motorway","peak_traffic",NA,NA,"DBFO5",NA,NA,"yes",NA,"National Highways","Q5760006",NA,NA,NA,NA,"M40","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asphalt",NA,NA,NA,NA,NA,NA,-0.5334257,51.565865,-0.52664,51.5606034
