"VIN","Name","Registration","Brand","Type","Model","EmissionLevel","FuelTypes","ProductionYear","ProductionMonth","DeliveryDate","Country","TransportCycle","RoadCondition","SpeedLimit_kmh","ConnectedServices"
"VF611AEA3SD000216","N88GNW","N88GNW","RENAULT TRUCKS","TRUCK","T BEV","-","08",2024,7,"2024-10-07","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status, Optifleet MISSION"
"VF611AEA4SD000273","TA70 WTL","TA70 WTL","RENAULT TRUCKS","TRUCK","T BEV","-","08",2024,10,"2025-04-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status, Optifleet MISSION"
"VF611C160KD004866","N888GNW","N888GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-04-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C160MD005681","X88GNW","X88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2021,6,"2021-08-02","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
"VF611C161KD004858","Y888RNW","Y888RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-03-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C161KD004875","Y88RNW","Y88RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-05-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C162KD004867","N8GNW","N8GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-04-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C163KD004876","Y88GNW","Y88GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-05-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C167KD004864","Y888GNW","Y888GNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2019,2,"2019-03-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Vehicle Status"
"VF611C168HD003747","HX17CUA","HX17CUA","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2017,4,"2017-06-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP"
"VF611C169MD005663","X88RNW","X88RNW","RENAULT TRUCKS","TRUCK","T","EURO_VI","04",2021,5,"2021-07-01","GBR","LONG_DISTANCE","SMOOTH",96,"Optifleet Drive, Optifleet Check, Optifleet MAP, Optifleet Safety Service, Optifleet Vehicle Status"
