"VIN","ReceivedAt","CreatedAt","Latitude","Longitude","Heading_deg","Altitude_m","GNSS_Speed_kmh","GNSSStatus","WheelSpeed_kmh","TachoSpeed_kmh","TriggerType"
"VF611AEA3SD000216","2026-03-16T00:59:11.026Z","2026-03-16T00:57:01.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T01:59:11.239Z","2026-03-16T01:57:02.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T02:57:23.599Z","2026-03-16T02:57:02.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T03:57:54.381Z","2026-03-16T03:57:01.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T04:43:11.530Z","2026-03-16T04:41:04.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T04:57:11.774Z","2026-03-16T04:57:10.000Z",52.101424,0.16144,0,33,0,,0,0,"BATTERY_PRECONDITIONING"
"VF611AEA3SD000216","2026-03-16T05:11:49.249Z","2026-03-16T05:11:48.000Z",52.101424,0.16144,0,33,0,,0,0,"BATTERY_PRECONDITIONING"
"VF611AEA3SD000216","2026-03-16T05:40:19.361Z","2026-03-16T05:40:18.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T07:08:47.172Z","2026-03-16T07:08:24.000Z",52.101424,0.16144,0,33,0,,0,0,"IGNITION_ON"
"VF611AEA3SD000216","2026-03-16T07:08:47.664Z","2026-03-16T07:08:24.000Z",52.101424,0.16144,0,33,0,,0,0,"TIMER"
"VF611AEA3SD000216","2026-03-16T07:09:23.344Z","2026-03-16T07:09:22.000Z",52.101424,0.16144,0,33,0,,0,0,"DRIVER_LOGIN"
"VF611AEA3SD000216","2026-03-16T07:10:04.880Z","2026-03-16T07:10:02.000Z",52.101424,0.16144,0,33,0,,0,0,"DRIVER_1_WORKING_STATE_CHANGED"
"VF611AEA3SD000216","2026-03-16T07:25:55.337Z","2026-03-16T07:25:52.000Z",52.101424,0.16144,0,33,0,,0.77734375,1.296875,"MOVEMENT"
"VF611AEA3SD000216","2026-03-16T07:27:01.533Z","2026-03-16T07:27:00.000Z",52.101807,0.162587,27,30,11.8512,,11.8984375,,"TIMER"
