Company,Rank,Supplier_Name,Industry,Market_Cap_M,Total_Relationship_Size_M,Cost_Category_Percent,Supplier_Source_Revenue_Percent,Size_Source,Data_Source
Amazon,1,Amazon.com Inc,E-Commerce Discretionary,2374969.28,237496.93,10.00% CAPEX,10.00% Supplier's 2023Q2 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,2,NVIDIA Corp,Semiconductors,4457880.00,11832.44,10.63% CAPEX,7.52% Supplier's 2025Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,3,Taiwan Semiconductor Manufact,Semiconductors,1021042.16,4354.89,1.10% CF,3.06% Supplier's 2024Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,4,SK Hynix Inc,Semiconductors,134453.19,3672.77,3.53% CAPEX,7.27% Supplier's 2023A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,5,Advanced Micro Devices Inc,Semiconductors,280302.48,1520.24,1.37% CAPEX,4.90% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,6,Intel Corp,Semiconductors,87321.15,1078.64,0.97% CAPEX,1.89% Supplier's 2022A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,7,Marvell Technology Inc,Semiconductors,27671.83,414.61,0.28% CAPEX,3.20% Supplier's 2021Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,8,Apple Inc,Technology Hardware,3384669.63,353584.87,10.00% CAPEX,10.00% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,9,Synaptics Inc,Semiconductors,3084.92,306.60,0.03% CF,5.28% Supplier's 2023Q2 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,10,Infineon Technologies AG,Semiconductors,60060.50,275.36,0.06% CF,2.88% Supplier's 2022Q3 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,11,Qualcomm Inc,Semiconductors,217547.21,224.12,0.02% CF,2.54% Supplier's 2021Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,12,Broadcom Inc,Semiconductors,546058.73,195.44,0.02% CF,2.44% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,13,Analog Devices Inc,Semiconductors,105516.31,184.24,0.02% CF,2.36% Supplier's 2023Q2 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,14,ON Semiconductor Corp,Semiconductors,31069.95,173.45,0.02% CF,2.28% Supplier's 2022Q3 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,15,Microchip Technology Inc,Semiconductors,46476.98,162.26,0.02% CF,2.20% Supplier's 2021Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,16,Micron Technology Inc,Semiconductors,115169.29,151.51,0.01% CF,2.12% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,17,Western Digital Corp,Technology Hardware,17775.00,140.98,0.01% CF,2.88% Supplier's 2023Q2 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,18,Seagate Technology Holdings P,Technology Hardware,15700.20,131.07,0.01% CF,2.80% Supplier's 2022Q3 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,19,Lattice Semiconductor Corp,Semiconductors,10203.86,121.24,0.01% CF,2.72% Supplier's 2021Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,20,Cadence Design Systems Inc,Software,70669.20,112.08,0.01% CF,2.64% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,21,Skyworks Solutions Inc,Semiconductors,9980.80,101.92,0.01% CF,2.56% Supplier's 2023Q2 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,22,Qorvo Inc,Semiconductors,8004.42,92.50,0.01% CF,2.48% Supplier's 2022Q3 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,23,Monolithic Power Systems Inc,Semiconductors,13623.52,83.73,0.01% CF,2.40% Supplier's 2021Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
