Company,Rank,Supplier_Name,Industry,Market_Cap_M,Total_Relationship_Size_M,Cost_Category_Percent,Supplier_Source_Revenue_Percent,Size_Source,Data_Source
Amazon,1,Amazon.com Inc,E-Commerce Discretionary,2374969.28,,,,BBG Estimate,AMZN Supply Chain Analysis
Amazon,2,NVIDIA Corp,Semiconductors,4457880.00,11832.44,10.63% CAPEX,7.52% Supplier's 2025Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,3,Taiwan Semiconductor Manufact,Semiconductors,1021042.16,4354.89,1.10% CF,3.06% Supplier's 2024Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,4,SK Hynix Inc,Semiconductors,134453.19,3672.77,3.53% CAPEX,7.27% Supplier's 2023A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,5,Advanced Micro Devices Inc,Semiconductors,280302.48,1520.24,1.37% CAPEX,4.90% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,6,Intel Corp,Semiconductors,87321.15,1078.64,0.97% CAPEX,1.89% Supplier's 2022A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,7,Marvell Technology Inc,Semiconductors,66682.55,849.14,0.94% CAPEX,14.00% Media News,BBG Estimate,AMZN Supply Chain Analysis
Amazon,8,Broadcom Inc,Semiconductors,1434417.55,548.14,0.61% CAPEX,0.98% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,9,Astera Labs Inc,Semiconductors,29799.77,184.25,0.14% CAPEX,24.00% Supplier's 2023Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,10,Advanced Energy Inc,Semiconductors,111128.79,116.04,0.04% COGS,1.19% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,11,Plug Power Inc,Renewable Energy,1731.31,110.08,0.10% CAPEX,14.37% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,12,ABB Holdings PLC,Semiconductors,146708.07,81.45,0.03% COGS,1.93% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,13,Skyworks Solutions Inc,Semiconductors,10550.24,62.50,0.02% COGS,1.52% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,14,NXP Semiconductors NV,Semiconductors,52226.06,61.00,0.02% COGS,0.49% Supplier's 2026 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,15,Infineon Technologies AG,Semiconductors,53704.46,56.07,0.01% COGS,0.38% Supplier's 2024Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,16,ON Semiconductor Corp,Semiconductors,19491.71,42.23,0.01% COGS,0.61% Supplier's 2024Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,17,Micron Inc,Semiconductors,72563.79,28.14,0.01% COGS,0.15% Supplier's 2024 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,18,Silicon Laboratories Inc,Semiconductors,4115.70,25.42,0.01% COGS,3.82% Supplier's 2023A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,19,Cirrus Logic Inc,Semiconductors,5329.31,21.44,0.01% COGS,1.43% Media News,BBG Estimate,AMZN Supply Chain Analysis
Amazon,20,Shenzhen Goodix Technology Co,Semiconductors,4840.16,18.49,0.01% COGS,3.16% Supplier's 2025A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,21,Nordic Semiconductor ASA,Semiconductors,2582.15,7.56,0.00% COGS,1.19% Supplier's 2022A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,22,Diodes Inc,Semiconductors,2364.40,5.54,0.00% COGS,0.42% Supplier's 2026Q1 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,23,Alpha & Omega Semiconductor Lt,Semiconductors,768.71,3.74,0.00% COGS,0.57% Supplier's 2022Q3 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,24,Semtech Corp,Semiconductors,4406.42,2.89,0.00% COGS,0.29% Company News,BBG Estimate,AMZN Supply Chain Analysis
Amazon,25,Lattice Semiconductor Corp,Semiconductors,8420.45,2.88,0.00% COGS,0.61% Supplier's 2024A CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,26,Rambus Inc,Semiconductors,2737.83,1.13,0.00% COGS,0.34% Supplier's 2024Q4 CF,BBG Estimate,AMZN Supply Chain Analysis
Amazon,27,Advanced Optoelectronic Techno,Semiconductors,72.66,,,Supplier's 2024Q3 CF,,AMZN Supply Chain Analysis
Amazon,28,DTE Energy Co,Electric Utilities,29100.44,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,29,Synaptics Inc,Semiconductors,2448.41,,,Supplier's 2023Q4 CF,,AMZN Supply Chain Analysis
Amazon,30,Shell PLC,Oil & Gas Supply Chain,209297.22,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,31,Emera Inc,Electric Utilities,14560.10,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,32,Himax Technologies Inc,Semiconductors,1271.63,,,Supplier's 2025Q1 CF,,AMZN Supply Chain Analysis
Amazon,33,Excellence Optoelectronics Inc,Semiconductors,150.83,,,Supplier's 2024Q1 CF,,AMZN Supply Chain Analysis
Amazon,34,u-blox Holding AG,Semiconductors,1068.99,,,Supplier's 2022A CF,,AMZN Supply Chain Analysis
Amazon,35,Navitas Semiconductor Corp,Semiconductors,1410.30,,,Supplier's 2024Q3 CF,,AMZN Supply Chain Analysis
Amazon,36,Brookfield Renewable Holdings,Electric Utilities,,,,Company News,,AMZN Supply Chain Analysis
Amazon,37,Evergy Inc,Electric Utilities,16658.21,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,38,Apollo Power Ltd,Renewable Energy,71.38,,,Supplier's 2024Q3 CF,,AMZN Supply Chain Analysis
Amazon,39,Sempra,Electric Utilities,53288.85,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,40,Ameren Corp,Electric Utilities,27416.87,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,41,Algonquin Power & Utilities Co,Electric Utilities,4361.34,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,42,FirsEnergy Corp,Electric Utilities,24966.48,,,Supplier's 2021A CF,,AMZN Supply Chain Analysis
Amazon,43,Capstone Cos Inc,Semiconductors,2.06,,,Supplier's 2024Q1 CF,,AMZN Supply Chain Analysis
Amazon,44,Rattanindia Enterprises Ltd,Electric Utilities,813.99,,,Supplier's 2024Q3 CF,,AMZN Supply Chain Analysis
Amazon,45,Clean Max Enviro Energy Solut,Renewable Energy,,,,Company News,,AMZN Supply Chain Analysis
Amazon,46,ERG SpA,Electric Utilities,3344.82,,,Supplier's 2024A CF,,AMZN Supply Chain Analysis
Amazon,47,SK Inc,Oil & Gas Supply Chain,10028.42,,,Supplier's 2024Q3 CF,,AMZN Supply Chain Analysis
Amazon,48,Amlogic Shanghai Co Ltd,Semiconductors,4143.60,,,Supplier's 2024A CF,,AMZN Supply Chain Analysis
Amazon,49,Radian Inc,Semiconductors,7839.29,,,Supplier's 2021Q3 CF,,AMZN Supply Chain Analysis
Amazon,50,SkyLogicIQ Corp,Semiconductors,93.28,,,Supplier's 2025Q1 CF,,AMZN Supply Chain Analysis
