timestamp,distance_from_origin,distance_to_end,SERVO2,MOTOR1,MOTOR2
0.000,0.000,7.380,130,80,80
0.200,0.026,7.354,130,80,80
0.400,0.052,7.328,130,80,80
0.600,0.078,7.302,130,80,80
0.800,0.104,7.276,130,80,80
1.000,0.130,7.250,130,80,80
1.200,0.156,7.224,130,80,80
1.400,0.183,7.197,130,80,80
1.600,0.209,7.171,130,80,80
1.800,0.235,7.145,130,80,80
2.000,0.261,7.119,130,80,80
2.200,0.287,7.093,130,80,80
2.400,0.313,7.067,130,80,80
2.600,0.339,7.041,130,80,80
2.800,0.365,7.015,130,80,80
3.000,0.391,6.989,130,80,80
3.200,0.417,6.963,121,80,80
3.400,0.443,6.937,121,80,80
3.600,0.469,6.911,130,80,80
3.800,0.495,6.885,130,80,80
4.000,0.522,6.858,130,80,80
4.200,0.548,6.832,130,80,80
4.400,0.574,6.806,130,80,80
4.600,0.600,6.780,130,80,80
4.800,0.626,6.754,130,80,80
5.000,0.652,6.728,130,80,80
5.200,0.678,6.702,123,80,80
5.400,0.704,6.676,123,80,80
5.600,0.730,6.650,130,80,80
5.800,0.756,6.624,130,80,80
6.000,0.782,6.598,130,80,80
6.200,0.808,6.572,130,80,80
6.400,0.834,6.546,130,80,80
6.600,0.861,6.519,130,80,80
6.800,0.887,6.493,130,80,80
7.000,0.913,6.467,130,80,80
7.200,0.939,6.441,130,80,80
7.400,0.965,6.415,127,80,80
7.600,0.991,6.389,127,80,80
7.800,1.017,6.363,96,80,80
8.000,1.043,6.337,96,80,80
8.200,1.069,6.311,130,80,80
8.400,1.095,6.285,130,80,80
8.600,1.121,6.259,130,80,80
8.800,1.147,6.233,130,80,80
9.000,1.173,6.206,116,80,80
9.200,1.200,6.180,116,80,80
9.400,1.226,6.154,130,80,80
9.600,1.252,6.128,130,80,80
9.800,1.278,6.102,100,80,80
10.000,1.304,6.076,100,80,80
10.200,1.330,6.050,130,80,80
10.400,1.356,6.024,130,80,80
10.600,1.382,5.998,110,80,80
10.800,1.408,5.972,110,80,80
11.000,1.434,5.946,130,80,80
11.200,1.460,5.920,130,80,80
11.400,1.486,5.894,130,80,80
11.600,1.513,5.867,130,80,80
11.800,1.539,5.841,130,80,80
12.000,1.565,5.815,130,80,80
12.200,1.591,5.789,130,80,80
12.400,1.617,5.763,130,80,80
12.600,1.643,5.737,130,80,80
12.800,1.669,5.711,130,80,80
13.000,1.695,5.685,130,80,80
13.200,1.721,5.659,130,80,80
13.400,1.747,5.633,130,80,80
13.600,1.773,5.607,109,80,80
13.800,1.799,5.581,109,80,80
14.000,1.825,5.555,130,80,80
14.200,1.852,5.528,130,80,80
14.400,1.878,5.502,130,80,80
14.600,1.904,5.476,130,80,80
14.800,1.930,5.450,130,80,80
15.000,1.956,5.424,130,80,80
15.200,1.982,5.398,130,80,80
15.400,2.008,5.372,130,80,80
15.600,2.034,5.346,95,80,80
15.800,2.060,5.320,95,80,80
16.000,2.086,5.294,130,80,80
16.200,2.112,5.268,130,80,80
16.400,2.138,5.242,130,80,80
16.600,2.164,5.216,130,80,80
16.800,2.191,5.189,130,80,80
17.000,2.217,5.163,130,80,80
17.200,2.243,5.137,130,80,80
17.400,2.269,5.111,130,80,80
17.600,2.295,5.085,130,80,80
17.800,2.321,5.059,130,80,80
18.000,2.347,5.033,130,80,80
18.200,2.373,5.007,130,80,80
18.400,2.399,4.981,130,80,80
18.600,2.425,4.955,130,80,80
18.800,2.451,4.929,130,80,80
19.000,2.477,4.903,130,80,80
19.200,2.503,4.877,122,80,80
19.400,2.530,4.850,122,80,80
19.600,2.556,4.824,121,80,80
19.800,2.582,4.798,121,80,80
20.000,2.608,4.772,130,80,80
20.200,2.634,4.746,130,80,80
20.400,2.660,4.720,130,80,80
20.600,2.686,4.694,130,80,80
20.800,2.712,4.668,130,80,80
21.000,2.738,4.642,102,80,80
21.200,2.764,4.616,102,80,80
21.400,2.790,4.590,130,80,80
21.600,2.816,4.564,130,80,80
21.800,2.842,4.538,130,80,80
22.000,2.869,4.511,130,80,80
22.200,2.895,4.485,130,80,80
22.400,2.921,4.459,130,80,80
22.600,2.947,4.433,130,80,80
22.800,2.973,4.407,130,80,80
23.000,2.999,4.381,106,80,80
23.200,3.025,4.355,106,80,80
23.400,3.051,4.329,93,80,80
23.600,3.077,4.303,93,80,80
23.800,3.103,4.277,130,80,80
24.000,3.129,4.251,130,80,80
24.200,3.155,4.225,130,80,80
24.400,3.181,4.199,130,80,80
24.600,3.208,4.172,130,80,80
24.800,3.234,4.146,90,80,80
25.000,3.260,4.120,90,80,80
25.200,3.286,4.094,130,80,80
25.400,3.312,4.068,130,80,80
25.600,3.338,4.042,130,80,80
25.800,3.364,4.016,130,80,80
26.000,3.390,3.990,130,80,80
26.200,3.416,3.964,130,80,80
26.400,3.442,3.938,130,80,80
26.600,3.468,3.912,130,80,80
26.800,3.494,3.886,130,80,80
27.000,3.520,3.859,130,80,80
27.200,3.547,3.833,98,80,80
27.400,3.573,3.807,98,80,80
27.600,3.599,3.781,130,80,80
27.800,3.625,3.755,130,80,80
28.000,3.651,3.729,101,80,80
28.200,3.677,3.703,101,80,80
28.400,3.703,3.677,130,80,80
28.600,3.729,3.651,130,80,80
28.800,3.755,3.625,130,80,80
29.000,3.781,3.599,130,80,80
29.200,3.807,3.573,130,80,80
29.400,3.833,3.547,130,80,80
29.600,3.859,3.520,130,80,80
29.800,3.886,3.494,130,80,80
30.000,3.912,3.468,130,80,80
30.200,3.938,3.442,130,80,80
30.400,3.964,3.416,130,80,80
30.600,3.990,3.390,130,80,80
30.800,4.016,3.364,130,80,80
31.000,4.042,3.338,130,80,80
31.200,4.068,3.312,130,80,80
31.400,4.094,3.286,130,80,80
31.600,4.120,3.260,130,80,80
31.800,4.146,3.234,130,80,80
32.000,4.172,3.208,130,80,80
32.200,4.199,3.181,130,80,80
32.400,4.225,3.155,130,80,80
32.600,4.251,3.129,130,80,80
32.800,4.277,3.103,130,80,80
33.000,4.303,3.077,100,80,80
33.200,4.329,3.051,100,80,80
33.400,4.355,3.025,130,80,80
33.600,4.381,2.999,130,80,80
33.800,4.407,2.973,130,80,80
34.000,4.433,2.947,130,80,80
34.200,4.459,2.921,130,80,80
34.400,4.485,2.895,130,80,80
34.600,4.511,2.869,130,80,80
34.800,4.538,2.842,130,80,80
35.000,4.564,2.816,99,80,80
35.200,4.590,2.790,99,80,80
35.400,4.616,2.764,130,80,80
35.600,4.642,2.738,130,80,80
35.800,4.668,2.712,93,80,80
36.000,4.694,2.686,93,80,80
36.200,4.720,2.660,96,80,80
36.400,4.746,2.634,96,80,80
