====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 12:46:44
  Platform: Windows 11
====================================================================================================

[12:46:44.200] [INIT] Server starting...
[12:46:44.201] [INIT] Platform: Windows
[12:46:44.201] [INIT] Arduino connected: False
[12:48:38.449] [INFO] Quest 3 connected from 192.168.101.105
[12:48:38.450] [INFO] Active connections: 1
[12:49:24.092] [TRACK] Mode 4 tracking: X=3.9cm, Z=-41.2cm, Heading=160.2°
[12:49:33.653] [TRACK] Mode 4 tracking: X=-10.3cm, Z=50.5cm, Heading=219.7°
[12:49:35.882] [TRACK] Mode 4 tracking: X=22.1cm, Z=37.1cm, Heading=158.8°
[12:49:37.661] [TRACK] Mode 4 tracking: X=23.0cm, Z=-21.1cm, Heading=274.1°
[12:49:38.853] [TRACK] Mode 4 tracking: X=5.3cm, Z=-42.3cm, Heading=309.7°
[12:49:40.254] [TRACK] Mode 4 tracking: X=32.8cm, Z=-17.5cm, Heading=220.1°
[12:49:44.265] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=157.0°
[12:49:46.058] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.1°
[12:49:49.531] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:49:50.455] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:49:53.053] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:49:55.716] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:49:59.053] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:50:00.253] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:50:01.057] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:50:01.860] [TRACK] Mode 4 tracking: X=4.1cm, Z=-41.1cm, Heading=161.2°
[12:50:11.314] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:14.650] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:15.650] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:16.462] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:22.453] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:22.852] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:24.650] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:25.056] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:33.456] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:35.253] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:36.051] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:39.852] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:40.652] [TRACK] Mode 4 tracking: X=31.2cm, Z=12.1cm, Heading=254.6°
[12:50:42.852] [TRACK] Mode 4 tracking: X=-13.0cm, Z=-42.2cm, Heading=120.0°
[12:50:43.454] [TRACK] Mode 4 tracking: X=-13.0cm, Z=-42.2cm, Heading=116.5°
[12:50:47.498] [TRACK] Mode 4 tracking: X=-13.0cm, Z=-42.2cm, Heading=115.1°
[12:50:47.681] [TRACK] Mode 4 tracking: X=-13.0cm, Z=-42.2cm, Heading=115.1°
[12:50:49.877] [TRACK] Mode 4 tracking: X=-47.3cm, Z=38.6cm, Heading=296.2°
[12:50:51.449] [TRACK] Mode 4 tracking: X=-47.3cm, Z=38.6cm, Heading=296.2°
[12:50:54.449] [TRACK] Mode 4 tracking: X=-13.4cm, Z=-42.4cm, Heading=117.0°
[12:50:55.650] [TRACK] Mode 4 tracking: X=-13.4cm, Z=-42.4cm, Heading=115.8°
[12:50:58.251] [TRACK] Mode 4 tracking: X=-13.4cm, Z=-42.4cm, Heading=115.8°
[12:50:58.449] [TRACK] Mode 4 tracking: X=-13.4cm, Z=-42.4cm, Heading=115.8°
[12:50:58.648] [TRACK] Mode 4 tracking: X=-13.4cm, Z=-42.4cm, Heading=115.8°
[12:51:00.848] [TRACK] Mode 4 tracking: X=36.3cm, Z=-13.9cm, Heading=110.3°
[12:51:01.465] [TRACK] Mode 4 tracking: X=36.3cm, Z=-13.9cm, Heading=110.3°
[12:51:03.650] [TRACK] Mode 4 tracking: X=36.3cm, Z=-13.9cm, Heading=110.3°
[12:51:07.448] [TRACK] Mode 4 tracking: X=-31.9cm, Z=-20.2cm, Heading=270.9°
[12:51:09.248] [TRACK] Mode 4 tracking: X=-22.8cm, Z=21.2cm, Heading=284.0°
[12:51:20.056] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:22.259] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:23.647] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:28.260] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:29.049] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:29.652] [TRACK] Mode 4 tracking: X=-13.5cm, Z=-42.3cm, Heading=117.0°
[12:51:30.450] [TRACK] Mode 4 tracking: X=-6.7cm, Z=-48.7cm, Heading=116.3°
[12:51:31.051] [TRACK] Mode 4 tracking: X=-6.9cm, Z=-48.7cm, Heading=116.0°
[12:51:31.651] [TRACK] Mode 4 tracking: X=-7.0cm, Z=-48.7cm, Heading=115.2°
[12:51:34.453] [TRACK] Mode 4 tracking: X=0.7cm, Z=-43.4cm, Heading=176.1°
[12:51:34.848] [TRACK] Mode 4 tracking: X=-6.6cm, Z=-48.3cm, Heading=152.2°
[12:51:37.247] [TRACK] Mode 4 tracking: X=-0.8cm, Z=-43.7cm, Heading=159.4°
[12:51:38.047] [TRACK] Mode 4 tracking: X=0.3cm, Z=-44.7cm, Heading=162.9°
[12:51:39.849] [TRACK] Mode 4 tracking: X=8.2cm, Z=-51.4cm, Heading=165.0°
[12:51:43.850] [TRACK] Mode 4 tracking: X=18.7cm, Z=-60.8cm, Heading=167.8°
[12:51:44.057] [TRACK] Mode 4 tracking: X=18.7cm, Z=-60.8cm, Heading=167.7°
[12:51:47.092] [TRACK] Mode 4 tracking: X=14.7cm, Z=-57.4cm, Heading=167.5°
[12:51:51.036] [TRACK] Mode 4 tracking: X=-42.4cm, Z=-83.7cm, Heading=125.7°
[12:51:51.603] [TRACK] Mode 4 tracking: X=-38.0cm, Z=-79.3cm, Heading=118.4°
[12:51:53.242] [TRACK] Mode 4 tracking: X=-38.3cm, Z=-78.0cm, Heading=115.2°
[12:51:56.556] [TRACK] Mode 4 tracking: X=-33.7cm, Z=-62.5cm, Heading=115.2°
[12:51:56.959] [TRACK] Mode 4 tracking: X=-33.9cm, Z=-61.7cm, Heading=115.0°
[12:51:58.556] [TRACK] Mode 4 tracking: X=-32.9cm, Z=-51.8cm, Heading=129.0°
[12:51:58.968] [TRACK] Mode 4 tracking: X=-28.9cm, Z=-46.8cm, Heading=144.3°
[12:52:00.162] [TRACK] Mode 4 tracking: X=-23.5cm, Z=-45.2cm, Heading=164.4°
[12:52:00.356] [TRACK] Mode 4 tracking: X=-20.5cm, Z=-44.3cm, Heading=170.6°
[12:52:01.153] [TRACK] Mode 4 tracking: X=-10.7cm, Z=-43.9cm, Heading=205.2°
[12:52:04.754] [TRACK] Mode 4 tracking: X=-0.1cm, Z=-45.1cm, Heading=238.4°
[12:52:06.353] [TRACK] Mode 4 tracking: X=-25.4cm, Z=-72.1cm, Heading=177.1°
[12:52:07.555] [TRACK] Mode 4 tracking: X=-12.8cm, Z=-99.7cm, Heading=172.3°
[12:52:07.772] [TRACK] Mode 4 tracking: X=-10.4cm, Z=-96.4cm, Heading=172.1°
[12:52:12.355] [TRACK] Mode 4 tracking: X=18.5cm, Z=13.1cm, Heading=312.8°
[12:52:14.956] [TRACK] Mode 4 tracking: X=18.5cm, Z=13.1cm, Heading=312.8°
[12:52:16.962] [TRACK] Mode 4 tracking: X=18.5cm, Z=13.1cm, Heading=312.8°
[12:52:17.961] [TRACK] Mode 4 tracking: X=18.5cm, Z=13.1cm, Heading=312.8°
[12:52:20.757] [TRACK] Mode 4 tracking: X=-14.4cm, Z=-27.2cm, Heading=201.7°
[12:52:21.159] [TRACK] Mode 4 tracking: X=-14.4cm, Z=-27.2cm, Heading=201.4°
[12:52:22.355] [TRACK] Mode 4 tracking: X=-14.3cm, Z=-27.2cm, Heading=200.9°
[12:52:24.230] [TRACK] Mode 4 tracking: X=-12.8cm, Z=-27.6cm, Heading=204.0°
[12:52:24.371] [TRACK] Mode 4 tracking: X=-11.4cm, Z=-28.0cm, Heading=209.7°
[12:52:29.353] [TRACK] Mode 4 tracking: X=-7.3cm, Z=-30.7cm, Heading=298.0°
[12:52:32.759] [TRACK] Mode 4 tracking: X=-24.6cm, Z=1.0cm, Heading=296.7°
[12:52:35.353] [TRACK] Mode 4 tracking: X=-34.0cm, Z=18.9cm, Heading=296.7°
[12:52:35.953] [TRACK] Mode 4 tracking: X=-33.9cm, Z=19.9cm, Heading=295.8°
[12:52:36.953] [TRACK] Mode 4 tracking: X=-36.3cm, Z=27.4cm, Heading=269.5°
[12:52:37.754] [TRACK] Mode 4 tracking: X=-41.7cm, Z=27.5cm, Heading=223.9°
[12:52:39.352] [TRACK] Mode 4 tracking: X=-44.0cm, Z=15.3cm, Heading=130.0°
[12:52:39.760] [TRACK] Mode 4 tracking: X=-44.9cm, Z=14.9cm, Heading=118.6°
[12:52:43.352] [TRACK] Mode 4 tracking: X=29.7cm, Z=-26.1cm, Heading=133.1°
[12:52:46.359] [TRACK] Mode 4 tracking: X=24.4cm, Z=-32.2cm, Heading=135.4°
[12:52:49.391] [TRACK] Mode 4 tracking: X=24.4cm, Z=-32.2cm, Heading=135.4°
[12:52:49.807] [TRACK] Mode 4 tracking: X=24.4cm, Z=-32.2cm, Heading=135.4°
[12:52:52.157] [TRACK] Mode 4 tracking: X=-46.2cm, Z=20.0cm, Heading=136.4°
[12:52:52.956] [TRACK] Mode 4 tracking: X=-46.2cm, Z=20.0cm, Heading=136.4°
[12:53:02.957] [TRACK] Mode 4 tracking: X=-46.2cm, Z=20.0cm, Heading=136.4°
[12:53:03.152] [TRACK] Mode 4 tracking: X=-43.7cm, Z=-3.1cm, Heading=135.9°
[12:53:03.955] [TRACK] Mode 4 tracking: X=-43.1cm, Z=-8.1cm, Heading=132.7°
[12:53:09.962] [TRACK] Mode 4 tracking: X=-41.6cm, Z=-26.2cm, Heading=115.9°
[12:53:12.354] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:13.156] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:16.156] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:17.150] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:18.554] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:19.365] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:19.600] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:20.956] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:21.758] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:23.555] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:24.550] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:26.349] [TRACK] Mode 4 tracking: X=-42.2cm, Z=-31.2cm, Heading=107.7°
[12:53:31.355] [TRACK] Mode 4 tracking: X=-38.0cm, Z=-27.4cm, Heading=140.7°
[12:53:31.552] [TRACK] Mode 4 tracking: X=-38.1cm, Z=-27.3cm, Heading=140.6°
