====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 13:35:33
  Platform: Windows 11
====================================================================================================

[13:35:33.405] [INIT] Server starting...
[13:35:33.405] [INIT] Platform: Windows
[13:35:33.406] [INIT] Arduino connected: False
[13:35:53.767] [INFO] Quest 3 connected from 192.168.101.105
[13:35:53.767] [INFO] Active connections: 1
[13:36:20.884] [INFO] Quest 3 connected from 192.168.101.105
[13:36:20.885] [INFO] Active connections: 1
[13:36:39.808] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:40.395] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:44.391] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:52.723] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:54.038] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:57.189] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:57.393] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:36:59.395] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:00.391] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:01.193] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:03.193] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:05.460] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:10.991] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:13.589] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:14.190] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:14.790] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:37:15.790] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
