====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 13:48:07
  Platform: Windows 11
====================================================================================================

[13:48:07.842] [INIT] Server starting...
[13:48:07.843] [INIT] Platform: Windows
[13:48:07.843] [INIT] Arduino connected: False
[13:49:07.435] [INFO] Quest 3 connected from 192.168.101.105
[13:49:07.436] [INFO] Active connections: 1
[13:49:07.979] [TRACK] Mode 4 tracking: X=0.0cm, Z=0.0cm, Heading=0.0°
[13:49:09.121] [INFO] Quest 3 connected from 192.168.101.105
[13:49:09.121] [INFO] Active connections: 1
[13:49:18.934] [INFO] Quest 3 connected from 192.168.101.105
[13:49:18.934] [INFO] Active connections: 1
[13:49:33.727] [TRACK] Mode 4 tracking: X=1.2cm, Z=-19.3cm, Heading=0.0°
[13:49:34.729] [TRACK] Mode 4 tracking: X=1.2cm, Z=-19.3cm, Heading=0.0°
[13:49:41.327] [TRACK] Mode 4 tracking: X=1.2cm, Z=-19.3cm, Heading=0.0°
[13:49:42.331] [TRACK] Mode 4 tracking: X=1.2cm, Z=-19.3cm, Heading=0.0°
[13:49:43.528] [TRACK] Mode 4 tracking: X=1.2cm, Z=-19.3cm, Heading=0.0°
[13:49:47.135] [TRACK] Mode 4 tracking: X=1.4cm, Z=-19.8cm, Heading=0.0°
[13:49:49.128] [TRACK] Mode 4 tracking: X=1.4cm, Z=-19.9cm, Heading=0.0°
[13:49:49.534] [TRACK] Mode 4 tracking: X=1.4cm, Z=-19.9cm, Heading=0.0°
[13:49:49.750] [TRACK] Mode 4 tracking: X=1.4cm, Z=-19.9cm, Heading=0.0°
[13:49:55.328] [TRACK] Mode 4 tracking: X=1.5cm, Z=-19.8cm, Heading=0.0°
[13:49:56.130] [TRACK] Mode 4 tracking: X=1.5cm, Z=-19.8cm, Heading=0.0°
[13:49:59.454] [MODE] MODE 1 ACTIVATED: Manual Control
[13:50:07.255] [TRACK] Mode 4 tracking: X=1.5cm, Z=-19.8cm, Heading=0.0°
[13:50:12.454] [TRACK] Mode 4 tracking: X=1.5cm, Z=-19.8cm, Heading=0.0°
[13:50:13.257] [TRACK] Mode 4 tracking: X=1.5cm, Z=-19.8cm, Heading=0.0°
[13:50:14.857] [TRACK] Mode 4 tracking: X=0.3cm, Z=-20.7cm, Heading=0.0°
[13:50:20.059] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:21.456] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:21.675] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:22.265] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:22.454] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:23.256] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:25.053] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:25.456] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:26.056] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:26.855] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:27.054] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:27.257] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:27.860] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:28.455] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:28.860] [TRACK] Mode 4 tracking: X=1.2cm, Z=-20.8cm, Heading=0.0°
[13:50:30.855] [TRACK] Mode 4 tracking: X=2.1cm, Z=-22.4cm, Heading=0.0°
[13:50:31.054] [TRACK] Mode 4 tracking: X=3.2cm, Z=-23.8cm, Heading=0.0°
[13:50:31.255] [TRACK] Mode 4 tracking: X=3.7cm, Z=-24.2cm, Heading=0.0°
[13:50:32.856] [TRACK] Mode 4 tracking: X=8.1cm, Z=-30.8cm, Heading=0.0°
[13:50:33.258] [TRACK] Mode 4 tracking: X=10.0cm, Z=-32.8cm, Heading=0.0°
[13:50:34.055] [TRACK] Mode 4 tracking: X=7.5cm, Z=-29.4cm, Heading=0.0°
[13:50:36.059] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:36.655] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:37.058] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:40.656] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:41.456] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:42.258] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:43.255] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:44.458] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:45.657] [TRACK] Mode 4 tracking: X=6.6cm, Z=-25.2cm, Heading=0.0°
[13:50:57.455] [TRACK] Mode 4 tracking: X=11.6cm, Z=-35.9cm, Heading=0.0°
[13:50:57.662] [TRACK] Mode 4 tracking: X=11.6cm, Z=-35.9cm, Heading=0.0°
[13:50:57.857] [TRACK] Mode 4 tracking: X=11.8cm, Z=-36.0cm, Heading=0.0°
[13:50:58.262] [TRACK] Mode 4 tracking: X=12.0cm, Z=-36.1cm, Heading=0.0°
[13:50:58.465] [TRACK] Mode 4 tracking: X=12.0cm, Z=-36.1cm, Heading=0.0°
[13:51:02.853] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:05.252] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:08.053] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:10.851] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:15.659] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:16.051] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:18.450] [TRACK] Mode 4 tracking: X=12.4cm, Z=-36.1cm, Heading=0.0°
[13:51:21.653] [TRACK] Mode 4 tracking: X=5.5cm, Z=-38.4cm, Heading=0.0°
[13:51:27.051] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:27.707] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:27.861] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:28.052] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:29.051] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:29.455] [TRACK] Mode 4 tracking: X=5.6cm, Z=-38.3cm, Heading=0.0°
[13:51:33.652] [TRACK] Mode 4 tracking: X=6.8cm, Z=-42.2cm, Heading=0.0°
[13:51:33.854] [TRACK] Mode 4 tracking: X=6.8cm, Z=-42.2cm, Heading=0.0°
[13:51:35.650] [TRACK] Mode 4 tracking: X=6.0cm, Z=-35.9cm, Heading=0.0°
[13:51:38.053] [TRACK] Mode 4 tracking: X=3.9cm, Z=-19.2cm, Heading=0.0°
[13:51:38.452] [TRACK] Mode 4 tracking: X=4.4cm, Z=-15.6cm, Heading=0.0°
[13:51:44.254] [TRACK] Mode 4 tracking: X=6.2cm, Z=-27.5cm, Heading=0.0°
[13:51:46.853] [TRACK] Mode 4 tracking: X=5.9cm, Z=-31.9cm, Heading=0.0°
