====================================================================================================
  QUEST 3 AR ROBOT CONTROL - DEBUG SESSION
  Started: 2026-03-15 13:55:03
  Platform: Windows 11
====================================================================================================

[13:55:03.841] [INIT] Server starting...
[13:55:03.841] [INIT] Platform: Windows
[13:55:03.841] [INIT] Arduino connected: False
[13:56:01.667] [INFO] Quest 3 connected from 192.168.101.105
[13:56:01.667] [INFO] Active connections: 1
[13:56:16.224] [INFO] Quest 3 connected from 192.168.101.105
[13:56:16.229] [INFO] Active connections: 1
[13:56:24.815] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:27.815] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:29.208] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:33.812] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:34.012] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:36.419] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:37.411] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:39.012] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:39.210] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:39.613] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:44.210] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:46.607] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:48.408] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:49.024] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:50.033] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
[13:56:50.810] [TRACK] Mode 4 tracking: X=2.2cm, Z=-48.8cm, Heading=0.0°
