# Robot Manual Control Log
# Started: 2026-03-11 17:38:47
# Columns: timestamp, left_x_cm, left_y_cm, left_z_cm, left_heading_deg, joystick_forward, joystick_turn, motor_speed, servo2_angle, servo1_angle
#====================================================================================================
16.486, -21.98, 103.46, -12.83, 27.1, 0.000, 0.000, 0.0, 90.0, 90.0
16.688, -22.44, 103.33, -12.91, 30.1, 0.000, 0.000, 0.0, 90.0, 90.0
16.889, -24.32, 99.79, -12.38, 32.3, 0.000, 0.000, 0.0, 90.0, 90.0
17.088, -26.52, 93.71, -9.68, 35.6, 0.000, 0.000, 0.0, 90.0, 90.0
17.283, -27.19, 89.78, -7.49, 38.4, 0.000, 0.000, 0.0, 90.0, 90.0
17.483, -27.50, 87.45, -7.04, 41.3, 0.000, 0.000, 0.0, 90.0, 90.0
17.684, -26.34, 87.59, -7.02, 42.9, 0.000, 0.000, 0.0, 90.0, 90.0
17.883, -25.98, 88.18, -6.35, 43.5, 0.000, 0.000, 0.0, 90.0, 90.0
18.083, -25.65, 88.65, -6.35, 43.6, 0.000, 0.000, 0.0, 90.0, 90.0
18.283, -24.32, 89.48, -7.63, 41.9, 0.000, 0.000, 0.0, 90.0, 90.0
18.483, -22.92, 91.84, -8.80, 38.6, 0.000, 0.000, 0.0, 90.0, 90.0
18.683, -23.37, 92.98, -8.36, 40.0, 0.000, 0.000, 0.0, 90.0, 90.0
18.883, -24.89, 93.58, -7.31, 42.6, 0.000, 0.000, 0.0, 90.0, 90.0
19.083, -26.09, 94.25, -5.36, 44.2, 0.000, 0.000, 0.0, 90.0, 90.0
19.283, -25.79, 93.21, -0.76, 45.5, 0.000, 0.000, 0.0, 90.0, 90.0
19.483, -25.20, 91.92, 4.20, 46.6, 0.000, 0.000, 0.0, 90.0, 90.0
19.683, -24.92, 91.80, 6.54, 47.8, 0.000, 0.000, 0.0, 90.0, 90.0
19.883, -24.35, 92.63, 5.74, 48.8, 0.000, 0.000, 0.0, 90.0, 90.0
20.083, -23.35, 93.63, 2.88, 48.2, 0.000, 0.000, 0.0, 90.0, 90.0
20.283, -22.41, 95.36, -0.63, 45.7, 0.000, 0.000, 0.0, 90.0, 90.0
20.483, -21.93, 96.79, -3.31, 42.5, 0.000, 0.000, 0.0, 90.0, 90.0
20.683, -21.57, 97.34, -4.28, 39.4, 0.000, 0.000, 0.0, 90.0, 90.0
20.883, -21.48, 97.06, -4.05, 37.0, 0.000, 0.000, 0.0, 90.0, 90.0
21.083, -21.77, 96.96, -3.79, 35.6, 0.000, 0.000, 0.0, 90.0, 90.0
21.283, -21.98, 97.12, -3.97, 34.8, 0.000, 0.000, 0.0, 90.0, 90.0
21.483, -22.04, 97.20, -3.96, 34.3, 0.000, 0.000, 0.0, 90.0, 90.0
21.683, -22.08, 97.29, -4.14, 33.9, 0.000, 0.000, 0.0, 90.0, 90.0
21.883, -22.11, 97.29, -4.40, 33.5, 0.000, 0.000, 0.0, 90.0, 90.0
22.083, -22.16, 97.30, -4.56, 33.3, 0.000, 0.000, 0.0, 90.0, 90.0
22.283, -22.11, 97.33, -4.78, 33.0, 0.000, 0.000, 0.0, 90.0, 90.0
22.483, -21.93, 97.25, -5.17, 32.8, 0.000, 0.000, 0.0, 90.0, 90.0
22.683, -21.64, 97.05, -5.49, 32.4, 0.000, 0.000, 0.0, 90.0, 90.0
22.883, -21.27, 97.00, -5.84, 31.9, 0.000, 0.000, 0.0, 90.0, 90.0
23.083, -21.01, 97.12, -6.16, 31.4, 0.000, 0.000, 0.0, 90.0, 90.0
23.283, -21.03, 97.14, -6.22, 31.1, 0.000, 0.000, 0.0, 90.0, 90.0
23.484, -20.96, 97.11, -6.24, 31.0, 0.000, 0.000, 0.0, 90.0, 90.0
23.683, -20.91, 97.16, -6.35, 30.8, 0.000, 0.000, 0.0, 90.0, 90.0
23.883, -20.85, 97.21, -6.56, 30.7, 0.000, 0.000, 0.0, 90.0, 90.0
24.083, -20.81, 97.26, -6.73, 30.7, 0.000, 0.000, 0.0, 90.0, 90.0
24.283, -20.81, 97.28, -6.84, 30.7, 0.000, 0.000, 0.0, 90.0, 90.0
24.483, -20.72, 97.32, -7.02, 30.8, 0.000, 0.000, 0.0, 90.0, 90.0
24.683, -20.66, 97.36, -7.19, 30.8, 0.000, 0.000, 0.0, 90.0, 90.0
24.883, -20.72, 97.38, -7.20, 30.9, 0.000, 0.000, 0.0, 90.0, 90.0
25.083, -20.83, 97.38, -7.09, 31.1, 0.000, 0.000, 0.0, 90.0, 90.0
25.136, 0.00, 0.00, 0.00, 0.0, 0.000, 0.000, 0.0, 90.0, 90.0

# Stopped: 2026-03-11 17:38:55
# Duration: 8.6 seconds
