timestamp,distance_from_origin,distance_to_end,SERVO2,MOTOR1,MOTOR2
0.000,0.000,6.500,130,80,80
0.200,0.026,6.474,130,80,80
0.400,0.052,6.448,130,80,80
0.600,0.078,6.422,130,80,80
0.800,0.104,6.395,130,80,80
1.000,0.131,6.369,130,80,80
1.200,0.157,6.343,130,80,80
1.400,0.183,6.317,130,80,80
1.600,0.209,6.291,108,80,80
1.800,0.235,6.265,108,80,80
2.000,0.261,6.239,108,80,80
2.200,0.287,6.213,130,80,80
2.400,0.313,6.187,130,80,80
2.600,0.339,6.160,130,80,80
2.800,0.365,6.134,130,80,80
3.000,0.392,6.108,130,80,80
3.200,0.418,6.082,130,80,80
3.400,0.444,6.056,130,80,80
3.600,0.470,6.030,130,80,80
3.800,0.496,6.004,130,80,80
4.000,0.522,5.978,130,80,80
4.200,0.548,5.952,130,80,80
4.400,0.574,5.926,130,80,80
4.600,0.600,5.899,130,80,80
4.800,0.626,5.873,130,80,80
5.000,0.653,5.847,108,80,80
5.200,0.679,5.821,108,80,80
5.400,0.705,5.795,130,80,80
5.600,0.731,5.769,130,80,80
5.800,0.757,5.743,94,80,80
6.000,0.783,5.717,94,80,80
6.200,0.809,5.691,125,80,80
6.400,0.835,5.665,125,80,80
6.600,0.861,5.638,125,80,80
6.800,0.888,5.612,130,80,80
7.000,0.914,5.586,130,80,80
7.200,0.940,5.560,130,80,80
7.400,0.966,5.534,130,80,80
7.600,0.992,5.508,130,80,80
7.800,1.018,5.482,130,80,80
8.000,1.044,5.456,130,80,80
8.200,1.070,5.430,130,80,80
8.400,1.096,5.403,130,80,80
8.600,1.122,5.377,130,80,80
8.800,1.149,5.351,130,80,80
9.000,1.175,5.325,130,80,80
9.200,1.201,5.299,130,80,80
9.400,1.227,5.273,130,80,80
9.600,1.253,5.247,130,80,80
9.800,1.279,5.221,130,80,80
10.000,1.305,5.195,130,80,80
10.200,1.331,5.169,130,80,80
10.400,1.357,5.142,130,80,80
10.600,1.383,5.116,130,80,80
10.800,1.410,5.090,130,80,80
11.000,1.436,5.064,130,80,80
11.200,1.462,5.038,130,80,80
11.400,1.488,5.012,130,80,80
11.600,1.514,4.986,130,80,80
11.800,1.540,4.960,130,80,80
12.000,1.566,4.934,130,80,80
12.200,1.592,4.907,130,80,80
12.400,1.618,4.881,130,80,80
12.600,1.645,4.855,130,80,80
12.800,1.671,4.829,130,80,80
13.000,1.697,4.803,130,80,80
13.200,1.723,4.777,130,80,80
13.400,1.749,4.751,130,80,80
13.600,1.775,4.725,130,80,80
13.800,1.801,4.699,130,80,80
14.000,1.827,4.673,130,80,80
14.200,1.853,4.646,130,80,80
14.400,1.879,4.620,130,80,80
14.600,1.906,4.594,91,80,80
14.800,1.932,4.568,91,80,80
15.000,1.958,4.542,130,80,80
15.200,1.984,4.516,130,80,80
15.400,2.010,4.490,130,80,80
15.600,2.036,4.464,130,80,80
15.800,2.062,4.438,97,80,80
16.000,2.088,4.412,97,80,80
16.200,2.114,4.385,130,80,80
16.400,2.141,4.359,130,80,80
16.600,2.167,4.333,126,80,80
16.800,2.193,4.307,126,80,80
17.000,2.219,4.281,130,80,80
17.200,2.245,4.255,130,80,80
17.400,2.271,4.229,91,80,80
17.600,2.297,4.203,91,80,80
17.800,2.323,4.177,126,80,80
18.000,2.349,4.150,126,80,80
18.200,2.375,4.124,130,80,80
18.400,2.402,4.098,130,80,80
18.600,2.428,4.072,102,80,80
18.800,2.454,4.046,102,80,80
19.000,2.480,4.020,130,80,80
19.200,2.506,3.994,130,80,80
19.400,2.532,3.968,95,80,80
19.600,2.558,3.942,95,80,80
19.800,2.584,3.916,95,80,80
20.000,2.610,3.889,130,80,80
20.200,2.636,3.863,130,80,80
20.400,2.663,3.837,130,80,80
20.600,2.689,3.811,130,80,80
20.800,2.715,3.785,101,80,80
21.000,2.741,3.759,101,80,80
21.200,2.767,3.733,130,80,80
21.400,2.793,3.707,130,80,80
